Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Baltimore Terrapins,,,29.9,30.8,102,104,0,0,0,,Knabe
Boston Red Sox,"481,359","6,093",25.4,24.7,100,98,3,0,1,,Carrigan
Brooklyn Dodgers,"122,671","1,553",26.7,27.7,102,102,2,0,0,"$44,400",Robinson
Boston Braves,"382,913","4,847",25.7,25.2,104,102,2,0,0,"$40,050",Stallings
Brooklyn Tip-Tops,,,28.3,26.5,98,99,1,0,0,,Bradley
Buffalo Buffeds,,,28.3,28.4,101,102,0,0,0,,Schlafly
Chicago Cubs,"202,516","2,665",28.6,28.2,98,98,1,0,0,"$73,200",O'Day
Chicago Chi-Feds,,,26.2,25.4,93,91,1,0,0,,Tinker
Chicago White Sox,"469,290","5,794",25.6,26.8,99,98,3,0,0,,Callahan
Cincinnati Reds,"100,791","1,309",26.7,25.3,102,105,0,0,0,"$40,163",Herzog
Cleveland Naps,"185,997","2,354",26.6,24.9,103,105,1,0,0,"$60,883",Birmingham
Detroit Tigers,"416,225","5,336",26.3,25.5,103,102,3,0,0,,Jennings
Indianapolis Hoosiers,,,27.6,28.4,112,109,2,0,0,,Phillips
Kansas City Packers,,,28.1,26.3,95,95,0,0,0,,Stovall
New York Giants,"364,313","4,554",27.4,28.7,96,95,2,0,0,"$53,141",McGraw
New York Yankees,"359,477","4,609",26.3,25.8,100,101,1,0,0,,Chance and Peckinpaugh
Pittsburgh Rebels,,,29.4,30.4,98,98,0,0,0,,Gessler and Oakes
Philadelphia Athletics,"346,641","4,444",25.7,25.3,96,95,5,0,0,"$74,387",Mack
Philadelphia Phillies,"138,474","1,775",28.5,23.8,105,104,2,0,0,,Dooin
Pittsburgh Pirates,"139,620","1,813",27.8,26.2,95,94,3,0,0,"$32,965",Clarke
St. Louis Browns,"244,714","3,021",26.8,24.6,96,99,2,0,0,"$39,958",Rickey
St. Louis Terriers,,,27.6,28.4,103,103,1,0,0,,Brown and Jones
St. Louis Cardinals,"256,099","3,242",27.4,25.9,98,100,1,0,0,,Huggins
Washington Nationals,"243,888","3,167",26.8,22.4,105,103,2,0,0,"$43,200",Griffith
