team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"3,879,508",81,"47,895","2,944,229","39,749","49,469","559,063","575,388","715,847","576,415","626,373","826,422",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"3,643,768",80,"45,547","2,194,017","22,317","46,834","426,686","540,531","692,076","600,889","693,881","689,705",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,422,054",80,"30,276","2,546,019","18,219","34,923","232,942","459,106","459,594","368,225","463,307","438,880",Fenway Park
Chicago Cubs,NL,"2,643,428",80,"33,043","2,585,766","16,255","39,763","310,977","549,744","306,594","562,919","549,918","363,276",Wrigley Field
Chicago White Sox,AL,"2,581,061",79,"32,672","2,575,673","18,263","43,559","247,290","391,202","415,667","465,215","619,723","441,964",Guaranteed Rate Field
Cincinnati Reds,NL,"2,454,428",79,"31,069","2,529,240","20,877","55,456","314,363","418,951","415,652","461,982","448,591","394,889",Cinergy Field
Cleveland Indians,AL,"2,177,908",80,"27,224","2,221,435","10,057","73,290","205,571","259,581","404,021","339,669","479,319","489,747",Cleveland Stadium
Colorado Rockies,NL,"4,483,203",79,"56,749","2,704,082","40,813","80,227","766,231","679,112","775,372","968,512","474,777","819,199",Mile High Stadium
Detroit Tigers,AL,"1,971,401",81,"24,338","2,387,160","10,862","49,674","158,731","284,549","468,280","419,818","369,334","270,689",Tiger Stadium
Florida Marlins,NL,"3,066,756",80,"38,334","2,693,857","24,064","45,900","424,669","515,701","548,053","441,619","532,263","604,451",Sun Life Stadium
Houston Astros,NL,"2,081,506",81,"25,698","2,421,843","14,602","49,075","262,676","392,342","309,169","479,425","346,431","291,463",Astrodome
Kansas City Royals,AL,"1,941,889",80,"24,274","2,386,350","14,911","40,329","280,032","182,582","369,133","445,727","354,192","310,223",Kauffman Stadium
Los Angeles Dodgers,NL,"3,164,720",81,"39,071","2,664,827","27,536","54,667","362,668","504,165","661,795","430,597","603,015","602,480",Dodger Stadium
Milwaukee Brewers,AL,"1,695,077",78,"21,732","2,275,853","10,013","53,621","159,311","266,063","334,878","438,178","294,924","201,723",County Stadium
Minnesota Twins,AL,"2,054,523",81,"25,364","2,300,788","11,150","51,617","328,099","312,258","372,116","315,842","362,950","363,258",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"1,641,438",81,"20,265","2,619,748","10,023","51,539","243,934","175,170","276,006","257,551","285,402","403,375",Stade Olympique
New York Mets,NL,"1,873,115",79,"23,710","2,650,976","15,851","53,127","288,810","326,833","338,142","340,278","316,189","262,863",Shea Stadium
New York Yankees,AL,"2,416,837",80,"30,210","2,605,511","13,047","56,704","185,938","410,685","351,119","417,117","592,384","459,594",Yankee Stadium I
Oakland Athletics,AL,"2,029,063",79,"25,684","2,327,792","15,039","43,627","317,094","335,254","270,318","378,571","388,803","339,023",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"3,137,512",80,"39,219","2,666,727","15,826","60,985","365,985","465,984","539,343","666,842","598,282","501,076",Veterans Stadium
Pittsburgh Pirates,NL,"1,652,922",79,"20,923","2,507,241","10,016","44,103","198,214","323,920","273,679","300,664","317,083","239,362",Three Rivers Stadium
San Diego Padres,NL,"1,375,432",80,"17,193","2,534,332","10,126","46,192","228,169","242,526","325,839","180,245","203,949","194,704",Qualcomm Stadium
San Francisco Giants,NL,"2,604,635",81,"32,156","2,767,366","15,725","56,689","273,999","426,491","479,741","519,523","475,182","429,699",Candlestick Park
Seattle Mariners,AL,"2,052,425",81,"25,339","2,307,256","11,871","56,120","386,243","295,004","265,372","390,417","371,210","344,179",Kingdome
St. Louis Cardinals,NL,"2,840,533",81,"35,068","2,608,902","20,950","53,146","400,487","525,915","396,003","547,163","586,759","384,206",Busch Stadium II
Texas Rangers,AL,"2,252,616",79,"28,514","2,392,862","14,911","41,339","221,498","374,740","411,865","349,143","462,959","432,411",Arlington Stadium
Toronto Blue Jays,AL,"4,057,747",81,"50,096","2,548,538","42,230","50,533","625,793","706,928","653,934","808,262","656,748","606,082",Rogers Centre
California Angels,AL,"2,063,049",81,"25,470","2,290,164","15,617","60,326","356,830","359,769","312,423","434,782","260,126","339,119",Angel Stadium of Anaheim
