Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Kansas City Monarchs,60,22,0,.732,5.7,3.8,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Hilldale Club,53,33,2,.616,5.7,4.4,1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,New York Yankees,91,63,1,.591,5.5,4.6,0.9,-0.1,0.8,89-65,2,50-25,41-38,6-5,30-23,56-39,35-24,58-52,33-11
4,St. Louis Cardinals,89,65,2,.578,5.2,4.3,0.9,-0.1,0.8,90-64,-1,47-30,42-35,6-7,19-23,77-54,12-11,32-34,57-31
5,Chicago American Giants,57,24,3,.704,5.0,3.4,1.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Atlantic City Bacharach Giants,43,28,1,.606,4.9,4.3,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,Cleveland Indians,88,66,0,.571,4.8,4.0,0.8,-0.1,0.7,90-64,-2,49-31,39-35,9-7,20-19,55-42,33-24,61-49,27-17
8,Cincinnati Reds,87,67,3,.565,4.8,4.1,0.6,-0.1,0.5,87-67,0,53-23,34-44,8-5,26-18,65-62,22-5,36-30,51-37
9,St. Louis Stars,61,35,2,.635,7.7,6.3,1.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,Cuban Stars East,29,22,0,.569,5.2,4.3,0.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
11,Philadelphia Athletics,83,67,0,.553,4.5,3.8,0.7,-0.1,0.6,87-63,-4,44-27,39-40,12-6,28-21,63-42,20-25,54-52,29-15
12,Pittsburgh Pirates,84,69,4,.549,4.9,4.4,0.5,-0.1,0.4,84-69,0,49-28,35-41,5-3,22-18,74-60,10-9,30-36,54-33
13,Harrisburg Giants,27,22,0,.551,6.1,5.7,0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,Washington Nationals,81,69,2,.540,5.3,5.0,0.3,0.0,0.2,79-71,2,42-30,39-39,12-2,24-23,53-45,28-24,49-58,32-11
15,Chicago Cubs,82,72,1,.532,4.4,3.9,0.5,-0.1,0.5,86-68,-4,49-28,33-44,7-8,28-30,61-56,21-16,34-32,48-40
16,Detroit Stars,52,47,1,.525,5.9,5.5,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Chicago White Sox,81,72,2,.529,4.7,4.3,0.4,-0.1,0.4,83-70,-2,47-31,34-41,3-10,20-32,55-44,26-28,52-57,29-15
18,New York Giants,74,77,0,.490,4.4,4.4,0.0,0.0,0.0,75-76,-1,43-33,31-44,6-6,27-25,61-57,13-20,39-49,35-28
19,Indianapolis ABCs,40,50,1,.444,5.8,5.1,0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,New York Lincoln Giants,22,31,1,.415,5.0,6.2,-1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Newark Stars,1,10,0,.091,4.2,8.2,-4.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
22,Detroit Tigers,79,75,3,.513,5.1,5.3,-0.2,0.0,-0.2,74-80,5,39-41,40-34,4-9,29-20,57-54,22-21,52-58,27-17
23,Brooklyn Robins,71,82,2,.464,4.0,4.5,-0.5,0.1,-0.5,68-85,3,38-38,33-44,4-7,21-21,50-50,21-32,34-54,37-28
24,Cuban Stars West,19,49,0,.279,4.2,6.5,-2.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Dayton Marcos,6,36,0,.143,2.8,7.2,-4.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
26,Boston Braves,66,86,1,.434,4.1,4.7,-0.6,0.1,-0.5,66-86,0,43-34,23-52,8-6,26-28,51-75,15-11,41-46,25-40
27,St. Louis Browns,62,92,1,.403,4.4,5.5,-1.1,0.1,-0.9,62-92,0,40-39,22-53,6-9,22-26,40-57,22-35,51-81,11-11
28,Brooklyn Royal Giants,11,24,0,.314,4.0,4.6,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
29,Philadelphia Phillies,58,93,1,.384,4.5,5.9,-1.4,0.2,-1.2,57-94,1,33-42,25-51,3-5,16-22,44-68,14-25,27-61,31-32
30,Baltimore Black Sox,22,38,2,.367,4.4,6.0,-1.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
31,Boston Red Sox,46,107,1,.301,3.6,5.4,-1.8,0.2,-1.6,50-103,-4,25-51,21-56,6-10,19-28,33-83,13-24,35-96,11-11
32,Cleveland Elites,8,40,1,.167,4.1,8.7,-4.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,54,54,1,.500,4.8,5.1,,,,54-53,,21-16,16-21,3-3,11-11,27-27,10-10,21-26,16-11
