Tm,W,L,W-L%,GB
Baltimore Orioles,109,53,.673,--
Detroit Tigers,90,72,.556,19.0
Boston Red Sox,87,75,.537,22.0
Washington Senators,86,76,.531,23.0
New York Yankees,80,81,.497,28.5
Cleveland Indians,62,99,.385,46.5
Minnesota Twins,97,65,.599,--
Oakland Athletics,88,74,.543,9.0
California Angels,71,91,.438,26.0
Kansas City Royals,69,93,.426,28.0
Chicago White Sox,68,94,.420,29.0
Seattle Pilots,64,98,.395,33.0
New York Mets,100,62,.617,--
Chicago Cubs,92,70,.568,8.0
Pittsburgh Pirates,88,74,.543,12.0
St. Louis Cardinals,87,75,.537,13.0
Philadelphia Phillies,63,99,.389,37.0
Montreal Expos,52,110,.321,48.0
Atlanta Braves,93,69,.574,--
San Francisco Giants,90,72,.556,3.0
Cincinnati Reds,89,73,.549,4.0
Los Angeles Dodgers,85,77,.525,8.0
Houston Astros,81,81,.500,12.0
San Diego Padres,52,110,.321,41.0
