Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,New York Yankees,110,44,1,.714,6.3,3.9,2.4,-0.3,2.1,109-45,1,57-19,53-25,4-4,24-19,79-28,31-16,42-24,68-20
2,Chicago American Giants,61,32,1,.656,4.7,3.6,1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,Atlantic City Bacharach Giants,55,35,1,.611,6.2,4.9,1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
4,Pittsburgh Pirates,94,60,2,.610,5.2,4.2,1.0,-0.1,0.9,92-62,2,48-31,46-29,4-7,33-29,73-49,21-11,38-28,56-32
5,St. Louis Stars,62,37,0,.626,6.3,5.0,1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,St. Louis Cardinals,92,61,0,.601,4.9,4.3,0.6,-0.1,0.5,85-68,7,55-25,37-36,11-4,22-18,66-49,26-12,30-35,62-26
7,Philadelphia Athletics,91,63,1,.591,5.4,4.7,0.7,-0.1,0.7,87-67,4,50-27,41-36,6-2,25-16,67-42,24-21,33-33,58-30
8,Harrisburg Giants,38,31,0,.551,5.8,5.0,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,Kansas City Monarchs,55,33,0,.625,5.2,3.6,1.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,New York Giants,92,62,1,.597,5.3,4.6,0.6,-0.1,0.5,86-68,6,49-25,43-37,8-9,31-16,70-49,22-13,35-31,57-31
11,Washington Nationals,85,69,3,.552,5.0,4.6,0.3,0.0,0.3,82-72,3,51-28,34-41,8-4,27-19,64-52,21-17,29-37,56-32
12,Cuban Stars East,31,29,2,.517,5.0,5.5,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Chicago Cubs,85,68,0,.556,4.9,4.3,0.6,-0.1,0.5,85-68,0,50-28,35-40,15-3,27-27,65-57,20-11,28-37,57-31
14,Birmingham Black Barons,53,44,3,.546,4.9,4.5,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
15,Detroit Tigers,82,71,3,.536,5.4,5.2,0.3,0.0,0.2,80-73,2,44-32,38-39,4-5,23-22,57-56,25-15,28-38,54-33
16,Baltimore Black Sox,34,36,2,.486,5.3,5.0,0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Detroit Stars,52,47,0,.525,5.5,5.1,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
18,Cincinnati Reds,75,78,0,.490,4.2,4.3,-0.1,0.0,-0.1,75-78,0,45-35,30-43,8-9,31-30,63-67,12-11,31-57,44-21
19,Chicago White Sox,70,83,0,.458,4.3,4.6,-0.3,0.0,-0.3,72-81,-2,38-37,32-46,8-11,17-31,48-61,22-22,36-51,34-32
20,New York Lincoln Giants,10,15,0,.400,5.5,7.0,-1.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Hilldale Club,38,48,1,.442,4.6,5.4,-0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
22,Cleveland Indians,66,87,0,.431,4.4,5.0,-0.6,0.1,-0.6,67-86,-1,35-42,31-45,4-9,23-27,48-70,18-17,35-53,31-34
23,Brooklyn Robins,65,88,1,.425,3.5,4.0,-0.5,0.1,-0.4,67-86,-2,34-39,31-49,5-11,28-32,49-81,16-7,33-55,32-33
24,Cuban Stars West,23,46,1,.333,3.7,5.0,-1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Cleveland Hornets,13,36,0,.265,4.4,8.0,-3.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
26,Boston Braves,60,94,1,.390,4.2,5.0,-0.8,0.1,-0.7,65-89,-5,32-41,28-53,8-8,21-30,48-63,12-31,30-58,30-36
27,St. Louis Browns,59,94,2,.386,4.7,5.8,-1.2,0.1,-1.0,61-92,-2,38-38,21-56,6-6,22-24,42-71,17-23,25-63,34-31
28,Brooklyn Royal Giants,11,23,0,.324,5.4,7.0,-1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
29,Philadelphia Phillies,51,103,1,.331,4.4,5.8,-1.5,0.2,-1.3,57-97,-6,34-43,17-60,2-10,17-28,42-77,9-26,26-62,25-41
30,Boston Red Sox,51,103,0,.331,3.9,5.6,-1.7,0.2,-1.5,52-102,-1,29-49,22-54,7-6,24-27,38-76,13-27,19-69,32-34
31,Memphis Red Sox,25,69,3,.266,3.0,5.5,-2.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,57,57,0,.500,4.9,5.0,,,,57-57,,22-17,17-22,3-3,12-12,29-30,9-9,16-23,23-16
