Tm,W,L,W-L%,GB
Boston Red Sox,88,74,.543,--
Toronto Blue Jays,86,76,.531,2.0
Detroit Tigers,79,83,.488,9.0
Cleveland Indians,77,85,.475,11.0
Baltimore Orioles,76,85,.472,11.5
Milwaukee Brewers,74,88,.457,14.0
New York Yankees,67,95,.414,21.0
Oakland Athletics,103,59,.636,--
Chicago White Sox,94,68,.580,9.0
Texas Rangers,83,79,.512,20.0
California Angels,80,82,.494,23.0
Seattle Mariners,77,85,.475,26.0
Kansas City Royals,75,86,.466,27.5
Minnesota Twins,74,88,.457,29.0
Pittsburgh Pirates,95,67,.586,--
New York Mets,91,71,.562,4.0
Montreal Expos,85,77,.525,10.0
Chicago Cubs,77,85,.475,18.0
Philadelphia Phillies,77,85,.475,18.0
St. Louis Cardinals,70,92,.432,25.0
Cincinnati Reds,91,71,.562,--
Los Angeles Dodgers,86,76,.531,5.0
San Francisco Giants,85,77,.525,6.0
Houston Astros,75,87,.463,16.0
San Diego Padres,75,87,.463,16.0
Atlanta Braves,65,97,.401,26.0
