team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"1,379,214",80,"17,240","1,227,180","10,033","47,152","181,947","229,480","248,790","381,575","201,313","136,109",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"854,902",64,"13,358","1,123,040","10,251","39,812","139,444","139,357","229,371","143,065","114,370","89,295",Memorial Stadium
Boston Red Sox,AL,"1,694,362",72,"23,533","1,138,163","12,233","35,770","113,964","153,501","228,853","347,053","404,177","446,814",Fenway Park
Chicago Cubs,NL,"977,226",69,"14,163","1,369,643","1,077","37,164","31,806","143,580","184,179","234,072","255,982","127,607",Wrigley Field
Chicago White Sox,AL,"986,471",62,"15,911","1,244,791","1,313","39,319","50,517","67,022","143,804","297,775","215,027","212,326",Comiskey Park I
Cincinnati Reds,NL,"957,700",73,"13,119","1,357,652","1,399","30,529","104,507","115,603","260,370","199,971","136,147","141,102",Crosley Field
Cleveland Indians,AL,"666,463",72,"9,256","977,420","10,016","32,500","57,388","87,450","108,724","194,667","154,711","63,523",Cleveland Stadium
Detroit Tigers,AL,"1,458,411",67,"21,767","1,102,930","10,113","52,357","71,070","301,595","184,459","262,545","318,252","320,490",Tiger Stadium
Houston Astros,NL,"1,348,285",80,"16,854","1,087,963","10,572","44,887","172,657","157,241","300,863","313,095","312,855","91,574",Astrodome
Los Angeles Dodgers,NL,"1,665,034",77,"21,624","1,365,065","11,063","40,740","265,569","182,214","409,774","275,432","267,638","264,407",Dodger Stadium
Minnesota Twins,AL,"1,481,259",76,"19,490","1,292,210","10,698","43,444","49,671","145,174","347,320","260,432","372,135","306,527",Metropolitan Stadium
New York Mets,NL,"1,565,500",67,"23,366","936,045","10,763","48,548","100,100","344,183","222,737","413,728","315,285","169,467",Shea Stadium
New York Yankees,AL,"1,142,656",69,"16,560","1,339,507","10,467","62,582","130,150","130,430","290,469","201,066","252,165","138,376",Yankee Stadium I
Philadelphia Phillies,NL,"825,512",71,"11,627","1,134,797","10,143","26,649","44,229","125,830","167,479","205,135","186,408","96,431",Shibe Park
Pittsburgh Pirates,NL,"909,012",75,"12,120","1,361,697","1,951","32,986","74,593","238,583","167,238","202,100","121,523","104,975",Forbes Field
San Francisco Giants,NL,"1,242,500",74,"16,791","1,648,259","10,042","42,555","82,442","255,610","204,897","294,879","234,665","170,007",Candlestick Park
St. Louis Cardinals,NL,"2,089,645",75,"27,862","1,471,327","10,514","49,093","167,952","96,632","460,057","475,172","574,680","315,152",Busch Stadium II
California Angels,AL,"1,318,067",75,"17,574","933,807","10,629","39,673","87,910","239,543","190,419","325,515","321,854","152,826",Angel Stadium of Anaheim
Kansas City Athletics,AL,"660,747",68,"9,717","906,724","10,170","24,924","49,033","142,899","172,212","111,350","148,567","36,686",Municipal Stadium
Washington Senators II,AL,"765,788",69,"11,098","970,534","1,718","44,382","114,837","101,852","130,247","150,177","168,958","99,717",Robert F. Kennedy Stadium
