Tm,W,L,W-L%,GB
New York Yankees,87,74,.540,--
Boston Red Sox,85,77,.525,2.5
Toronto Blue Jays,83,79,.512,4.5
Baltimore Orioles,74,88,.457,13.5
Tampa Bay Devil Rays,69,92,.429,18.0
Chicago White Sox,95,67,.586,--
Cleveland Indians,90,72,.556,5.0
Detroit Tigers,79,83,.488,16.0
Kansas City Royals,77,85,.475,18.0
Minnesota Twins,69,93,.426,26.0
Oakland Athletics,91,70,.565,--
Seattle Mariners,91,71,.562,0.5
Anaheim Angels,82,80,.506,9.5
Texas Rangers,71,91,.438,20.5
Atlanta Braves,95,67,.586,--
New York Mets,94,68,.580,1.0
Florida Marlins,79,82,.491,15.5
Montreal Expos,67,95,.414,28.0
Philadelphia Phillies,65,97,.401,30.0
St. Louis Cardinals,95,67,.586,--
Cincinnati Reds,85,77,.525,10.0
Milwaukee Brewers,73,89,.451,22.0
Houston Astros,72,90,.444,23.0
Pittsburgh Pirates,69,93,.426,26.0
Chicago Cubs,65,97,.401,30.0
San Francisco Giants,97,65,.599,--
Los Angeles Dodgers,86,76,.531,11.0
Arizona Diamondbacks,85,77,.525,12.0
Colorado Rockies,82,80,.506,15.0
San Diego Padres,76,86,.469,21.0
