Tm,W,L,W-L%,GB
New York Yankees,101,61,.623,--
Boston Red Sox,95,67,.586,6.0
Toronto Blue Jays,86,76,.531,15.0
Baltimore Orioles,71,91,.438,30.0
Tampa Bay Devil Rays,63,99,.389,38.0
Minnesota Twins,90,72,.556,--
Chicago White Sox,86,76,.531,4.0
Kansas City Royals,83,79,.512,7.0
Cleveland Indians,68,94,.420,22.0
Detroit Tigers,43,119,.265,47.0
Oakland Athletics,96,66,.593,--
Seattle Mariners,93,69,.574,3.0
Anaheim Angels,77,85,.475,19.0
Texas Rangers,71,91,.438,25.0
Atlanta Braves,101,61,.623,--
Florida Marlins,91,71,.562,10.0
Philadelphia Phillies,86,76,.531,15.0
Montreal Expos,83,79,.512,18.0
New York Mets,66,95,.410,34.5
Chicago Cubs,88,74,.543,--
Houston Astros,87,75,.537,1.0
St. Louis Cardinals,85,77,.525,3.0
Pittsburgh Pirates,75,87,.463,13.0
Cincinnati Reds,69,93,.426,19.0
Milwaukee Brewers,68,94,.420,20.0
San Francisco Giants,100,61,.621,--
Los Angeles Dodgers,85,77,.525,15.5
Arizona Diamondbacks,84,78,.519,16.5
Colorado Rockies,74,88,.457,26.5
San Diego Padres,64,98,.395,36.5
