Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,New York Yankees,106,45,1,.702,6.4,3.7,2.7,-0.3,2.4,111-40,-5,52-25,54-20,3-4,22-15,70-30,36-15,54-31,52-14
2,Homestead Grays,36,19,1,.655,7.6,4.3,3.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,Kansas City Monarchs,46,25,0,.648,5.0,3.7,1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
4,Cincinnati Reds,97,57,2,.630,4.9,3.8,1.1,-0.1,1.0,95-59,2,55-25,42-32,14-4,21-25,81-54,16-3,46-42,51-15
5,St. Louis Cardinals,92,61,2,.601,5.0,4.1,0.9,-0.1,0.8,91-62,1,51-27,41-34,6-4,27-15,73-48,19-13,48-39,44-22
6,Boston Red Sox,89,62,1,.589,5.9,5.2,0.6,-0.1,0.5,83-68,6,42-32,47-30,6-3,24-16,78-58,11-4,40-45,49-17
7,Newark Eagles,32,23,1,.582,5.9,4.5,1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,Chicago American Giants,40,34,0,.541,3.9,4.7,-0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,Cleveland Indians,87,67,0,.565,5.2,4.5,0.6,-0.1,0.6,86-68,1,44-33,43-34,8-7,26-23,60-43,27-24,39-49,48-18
10,Brooklyn Dodgers,84,69,4,.549,4.5,4.1,0.4,-0.1,0.3,83-70,1,51-27,33-42,4-5,23-18,69-53,15-16,42-46,42-23
11,New York Black Yankees,19,18,4,.514,4.4,5.6,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,Cleveland Bears,20,21,0,.488,4.7,4.0,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Chicago White Sox,85,69,1,.552,4.9,4.8,0.1,0.0,0.1,79-75,6,50-27,35-42,8-6,26-20,71-57,14-12,42-46,43-23
14,Chicago Cubs,84,70,2,.545,4.6,4.3,0.3,0.0,0.3,82-72,2,44-34,40-36,4-8,24-19,70-58,14-12,42-46,42-24
15,Toledo Crawfords,9,11,1,.450,5.2,6.4,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,Toledo Crawfords,4,6,1,.400,3.1,5.9,-2.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Detroit Tigers,81,73,1,.526,5.5,4.9,0.6,-0.1,0.5,85-69,-4,42-35,39-38,3-5,19-24,66-62,15-11,42-46,39-27
18,New York Giants,77,74,0,.510,4.7,4.5,0.1,0.0,0.1,77-74,0,41-33,36-41,5-1,20-23,67-65,10-9,41-46,36-28
19,Baltimore Elite Giants,21,23,0,.477,5.9,5.0,1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Indianapolis ABCs/Atlanta Black Crackers,6,10,0,.375,5.4,7.5,-2.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Philadelphia Stars,24,29,1,.453,5.7,6.3,-0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
22,Pittsburgh Pirates,68,85,0,.444,4.4,4.7,-0.4,0.0,-0.3,71-82,-3,35-42,33-43,5-7,19-24,47-67,21-18,42-68,26-17
23,St. Louis Stars,15,20,1,.429,5.1,5.0,0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Washington Nationals,65,87,1,.428,4.6,5.2,-0.6,0.1,-0.5,67-85,-2,37-39,28-48,5-10,20-28,47-63,18-24,38-72,27-15
25,Boston Bees,63,88,1,.417,3.8,4.3,-0.6,0.1,-0.5,66-85,-3,37-35,26-53,5-8,21-31,52-72,11-16,41-68,22-20
26,Philadelphia Athletics,55,97,1,.362,4.6,6.7,-2.0,0.3,-1.8,52-100,3,28-48,27-49,5-1,18-16,47-74,8-23,34-76,21-21
27,Memphis Red Sox,19,34,0,.358,2.8,5.0,-2.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
28,New York Cubans,7,25,0,.219,3.7,6.2,-2.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
29,Philadelphia Phillies,45,106,1,.298,3.6,5.6,-2.0,0.2,-1.7,47-104,-2,29-44,16-62,2-8,25-25,36-90,9-16,29-79,16-27
30,St. Louis Browns,43,111,2,.279,4.7,6.6,-1.9,0.2,-1.7,53-101,-10,18-59,25-52,4-6,13-26,31-93,12-18,27-83,16-28
,Average,50,50,1,.500,4.9,5.0,,,,50-50,,21-18,18-21,2-2,11-11,32-32,8-7,21-29,19-11
