Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,New York Yankees,102,51,2,.667,6.9,4.7,2.2,-0.3,1.9,102-51,0,56-21,46-30,9-3,22-17,72-41,30-10,57-30,45-21
2,New York Giants,92,62,0,.597,4.8,4.0,0.8,-0.1,0.7,89-65,3,52-26,40-36,8-5,33-22,80-50,12-12,36-30,56-32
3,Pittsburgh Crawfords,48,33,2,.593,5.7,5.7,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
4,New York Black Yankees,21,16,1,.568,5.8,4.5,1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
5,St. Louis Cardinals,87,67,1,.565,5.1,5.1,0.0,0.0,0.0,77-77,10,43-33,44-34,10-7,26-22,70-52,17-15,38-28,49-39
6,Chicago Cubs,87,67,0,.565,4.9,3.9,1.0,-0.1,0.9,93-61,-6,50-27,37-40,12-8,26-24,73-58,14-9,30-36,57-31
7,Detroit Tigers,83,71,0,.539,6.0,5.7,0.3,0.0,0.3,81-73,2,44-33,39-38,4-6,20-16,66-54,17-17,46-42,37-29
8,Washington Nationals,82,71,0,.536,5.8,5.2,0.6,-0.1,0.5,84-69,-2,42-35,40-36,4-5,18-23,59-44,23-27,33-54,49-17
9,Homestead Grays,27,24,1,.529,6.3,5.8,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,Pittsburgh Pirates,84,70,2,.545,5.2,4.6,0.6,-0.1,0.5,85-69,-1,46-30,38-40,8-9,24-29,62-42,22-28,28-38,56-32
11,Chicago White Sox,81,70,2,.536,6.0,5.7,0.3,-0.1,0.3,79-72,2,43-32,38-38,8-6,17-14,73-63,8-7,43-43,38-27
12,Newark Eagles,27,31,1,.466,5.2,6.1,-0.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,New York Cubans,22,26,1,.458,5.9,5.2,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,Cleveland Indians,80,74,3,.519,5.9,5.5,0.4,0.0,0.3,82-72,-2,49-30,31-44,7-3,16-13,58-54,22-20,39-49,41-25
15,Cincinnati Reds,74,80,0,.481,4.7,4.9,-0.2,0.0,-0.2,73-81,1,42-34,32-46,5-7,28-24,64-72,10-8,39-49,35-31
16,Boston Red Sox,74,80,1,.481,5.0,4.9,0.1,0.0,0.1,78-76,-4,47-29,27-51,1-10,19-24,69-73,5-7,49-61,25-19
17,Boston Bees,71,83,3,.461,4.0,4.6,-0.5,0.1,-0.5,68-86,3,35-43,36-40,9-10,30-22,66-74,5-9,36-52,35-31
18,Washington Elite Giants,29,34,1,.460,6.2,5.7,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
19,Brooklyn Dodgers,67,87,2,.435,4.2,4.8,-0.6,0.1,-0.5,68-86,-1,37-40,30-47,7-9,23-25,58-73,9-14,34-54,33-33
20,Philadelphia Stars,32,42,1,.432,5.6,6.2,-0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,St. Louis Browns,57,95,3,.375,5.2,6.9,-1.7,0.2,-1.5,57-95,0,31-43,26-52,1-2,11-11,50-82,7-13,37-72,20-23
22,Philadelphia Phillies,54,100,0,.351,4.7,5.7,-1.0,0.1,-0.8,64-90,-10,30-48,24-52,5-9,12-34,38-56,16-44,25-63,29-37
23,Philadelphia Athletics,53,100,1,.346,4.6,6.8,-2.1,0.3,-1.9,51-102,2,31-46,22-54,6-5,18-23,45-90,8-10,33-77,20-23
,Average,62,62,1,.500,5.4,5.3,,,,62-62,,29-23,23-29,4-4,14-14,43-42,9-10,26-33,27-19
