Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Boston Red Sox,"473,048","6,143",27.3,29.5,103,103,2,0,0,,McGuire and Lake
Brooklyn Superbas,"275,600","3,579",27.1,28.0,96,100,0,0,0,,Donovan
Boston Doves,"253,750","3,253",30.7,28.3,97,101,1,0,0,,Kelley
Chicago Cubs,"665,325","8,530",28.9,28.7,105,100,4,0,0,,Chance
Chicago White Sox,"636,096","8,155",31.6,28.0,98,97,2,0,0,,Jones
Cincinnati Reds,"399,200","5,184",27.8,30.0,97,98,1,0,0,,Ganzel
Cleveland Naps,"422,262","5,414",28.2,27.2,99,99,3,0,0,,Lajoie
Detroit Tigers,"436,199","5,592",27.2,27.4,103,100,2,0,0,,Jennings
New York Giants,"910,000","11,375",29.0,28.1,106,103,4,0,0,,McGraw
New York Highlanders,"305,500","3,968",28.1,28.8,100,103,2,0,0,,Griffith and Elberfeld
Philadelphia Athletics,"455,062","5,834",29.0,26.3,106,106,5,0,0,,Mack
Philadelphia Phillies,"420,660","5,393",27.3,26.4,103,102,0,0,0,,Murray
Pittsburgh Pirates,"382,444","4,967",29.5,27.7,100,97,3,0,0,,Clarke
St. Louis Browns,"618,947","7,935",30.0,29.5,100,99,2,0,0,,McAleer
St. Louis Cardinals,"205,129","2,664",26.5,25.4,95,100,0,0,0,,McCloskey
Washington Nationals,"264,252","3,388",28.8,27.1,91,95,1,0,0,,Cantillon
