Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,St. Louis Cardinals,105,49,3,.682,4.9,3.1,1.8,-0.2,1.6,107-47,-2,54-22,51-27,8-4,24-20,78-38,27-11,24-20,81-29
2,Birmingham Black Barons,47,22,0,.681,4.7,4.4,0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,Homestead Grays,48,24,3,.667,6.3,4.7,1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
4,St. Louis Browns,89,65,0,.578,4.4,3.8,0.6,-0.1,0.6,88-66,1,54-23,35-42,9-13,20-24,69-49,20-16,37-29,52-36
5,New York Cubans,31,21,2,.596,5.2,4.4,0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Pittsburgh Pirates,90,63,5,.588,4.7,4.2,0.5,0.0,0.5,85-68,5,49-28,41-35,11-5,31-20,71-50,19-13,22-22,68-41
7,Detroit Tigers,88,66,2,.571,4.2,3.7,0.5,-0.1,0.4,86-68,2,43-34,45-32,8-6,27-15,80-60,8-6,35-31,53-35
8,Cincinnati-Indianapolis Clowns,49,41,0,.544,4.0,4.4,-0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,Cleveland Buckeyes,46,33,0,.582,4.4,4.1,0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,Cincinnati Reds,89,65,1,.578,3.7,3.5,0.2,0.0,0.2,82-72,7,45-33,44-32,14-3,37-26,78-63,11-2,20-24,69-41
11,New York Yankees,83,71,0,.539,4.4,4.0,0.4,0.0,0.3,83-71,0,47-31,36-40,9-6,24-21,66-58,17-13,29-37,54-34
12,Philadelphia Stars,31,27,1,.534,6.5,4.6,1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Boston Red Sox,77,77,2,.500,4.7,4.3,0.4,0.0,0.4,83-71,-6,47-30,30-47,7-7,21-25,65-70,12-7,31-35,46-42
14,Chicago Cubs,75,79,3,.487,4.5,4.3,0.2,0.0,0.2,80-74,-5,35-42,40-37,3-7,22-29,54-58,21-21,27-39,48-40
15,Baltimore Elite Giants,34,38,0,.472,5.2,4.8,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,Kansas City Monarchs,39,48,0,.448,4.3,4.3,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Cleveland Indians,72,82,1,.468,4.1,4.4,-0.2,0.0,-0.2,73-81,-1,39-38,33-44,13-11,31-23,59-66,13-16,42-46,30-36
18,Philadelphia Athletics,72,82,1,.468,3.4,3.8,-0.4,0.1,-0.4,68-86,4,39-37,33-45,10-9,24-29,56-69,16-13,40-48,32-34
19,New York Giants,67,87,1,.435,4.4,5.0,-0.6,0.1,-0.5,68-86,-1,39-36,28-51,4-10,21-21,57-67,10-20,20-46,47-41
20,Memphis Red Sox,49,65,0,.430,3.4,3.7,-0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Newark Eagles,27,36,0,.429,4.5,5.3,-0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
22,Boston Braves,65,89,1,.422,3.8,4.3,-0.5,0.1,-0.5,68-86,-3,38-40,27-49,8-9,22-34,46-54,19-35,25-41,40-48
23,Chicago American Giants,33,54,0,.379,3.5,4.6,-1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,New York Black Yankees,7,32,0,.179,2.7,7.7,-5.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Chicago White Sox,71,83,0,.461,3.5,4.3,-0.8,0.1,-0.7,63-91,8,41-36,30-47,13-9,28-22,54-71,17-12,32-56,39-27
26,Brooklyn Dodgers,63,91,1,.409,4.5,5.4,-0.9,0.1,-0.8,64-90,-1,37-39,26-52,7-7,25-22,53-67,10-24,16-50,47-41
27,Washington Nationals,64,90,0,.416,3.8,4.3,-0.5,0.1,-0.4,69-85,-5,40-37,24-53,6-14,17-33,51-69,13-21,33-55,31-35
28,Philadelphia Phillies,61,92,1,.399,3.5,4.3,-0.8,0.1,-0.7,63-90,-2,29-49,32-43,6-16,25-35,49-77,12-15,23-42,38-50
,Average,59,59,1,.500,4.3,4.4,,,,59-60,,24-19,19-24,4-4,14-14,35-35,8-8,16-22,27-21
