Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Baltimore Orioles,97,63,.606,4.7,3.8,1.0,-0.1,0.9,96-64,1,48-31,49-32,13-7,27-23,62-38,35-25,36-36,61-27
2,Los Angeles Dodgers,95,67,.586,3.7,3.0,0.7,-0.1,0.6,97-65,-2,53-28,42-39,11-5,34-19,59-35,36-32,50-40,45-27
3,San Francisco Giants,93,68,.578,4.2,3.9,0.3,0.0,0.3,86-75,7,47-34,46-34,12-9,27-20,69-49,24-19,50-40,43-28
4,Minnesota Twins,89,73,.549,4.1,3.6,0.5,-0.1,0.5,91-71,-2,49-32,40-41,5-4,24-26,55-46,34-27,38-34,51-39
5,Pittsburgh Pirates,92,70,.568,4.7,4.0,0.7,-0.1,0.7,93-69,-1,46-35,46-35,7-11,27-29,69-53,23-17,43-47,49-23
6,Detroit Tigers,88,74,.543,4.4,4.3,0.1,0.0,0.1,83-79,5,42-39,46-35,9-7,29-17,57-46,31-28,39-33,49-41
7,Philadelphia Phillies,87,75,.537,4.3,4.0,0.3,0.0,0.3,87-75,0,48-33,39-42,11-8,30-28,50-46,37-29,44-46,43-29
8,Chicago White Sox,83,79,.512,3.5,3.2,0.3,0.0,0.3,89-73,-6,45-36,38-43,14-9,30-32,53-49,30-30,32-40,51-39
9,Atlanta Braves,85,77,.525,4.8,4.2,0.6,-0.1,0.5,91-71,-6,43-38,42-39,6-12,21-26,59-55,26-22,40-50,45-27
10,Cleveland Indians,81,81,.500,3.5,3.6,-0.1,0.0,-0.1,79-83,2,41-40,40-41,7-10,30-30,47-46,34-35,35-37,46-44
11,St. Louis Cardinals,83,79,.512,3.5,3.6,0.0,0.0,0.0,80-82,3,43-38,40-41,7-7,28-26,54-53,29-26,43-47,40-32
12,California Angels,80,82,.494,3.7,4.0,-0.2,0.0,-0.2,76-86,4,42-39,38-43,9-8,37-23,51-51,29-31,44-46,36-36
13,Cincinnati Reds,76,84,.475,4.3,4.4,-0.1,0.0,-0.1,79-81,-3,46-33,30-51,8-9,20-29,47-54,29-30,50-57,26-27
14,Kansas City Athletics,74,86,.463,3.5,4.1,-0.5,0.0,-0.5,70-90,4,42-39,32-47,9-10,25-23,44-57,30-29,42-46,32-40
15,Washington Senators,71,88,.447,3.5,4.1,-0.6,0.1,-0.6,67-92,4,42-36,29-52,7-7,31-25,54-58,17-30,31-59,40-29
16,Houston Astros,72,90,.444,3.8,4.3,-0.5,0.1,-0.5,72-90,0,45-36,27-54,9-7,26-30,44-60,28-30,38-70,34-20
17,Boston Red Sox,72,90,.444,4.0,4.5,-0.5,0.0,-0.4,73-89,-1,40-41,32-49,6-16,21-32,55-65,17-25,38-52,34-38
18,New York Mets,66,95,.410,3.6,4.7,-1.1,0.1,-1.0,62-99,4,32-49,34-46,5-7,25-24,41-61,25-34,38-70,28-25
19,New York Yankees,70,89,.440,3.8,3.8,0.0,0.0,0.0,79-80,-9,35-46,35-43,4-5,15-38,42-51,28-38,35-55,35-34
20,Chicago Cubs,59,103,.364,4.0,5.0,-1.0,0.1,-0.9,64-98,-5,32-49,27-54,10-11,19-26,47-75,12-28,40-68,19-35
,Average,80,80,.500,4.0,4.0,,,,80-80,,43-37,37-43,8-8,26-26,52-52,27-28,40-48,40-32
