Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago Cubs,99,55,.643,3.9,2.9,1.0,-0.1,0.9,98-56,1,47-30,52-25,25-20,67-38,32-17,30-36,69-19
2,Detroit Tigers,90,63,.588,4.2,3.6,0.6,-0.1,0.6,88-65,2,44-33,46-30,27-21,59-43,31-20,34-32,56-31
3,New York Giants,98,56,.636,4.1,2.9,1.2,-0.2,1.1,101-53,-3,52-25,46-31,26-20,62-29,36-27,38-28,60-28
4,Pittsburgh Pirates,98,56,.636,3.8,3.0,0.8,-0.1,0.7,93-61,5,42-35,56-21,33-12,72-38,26-18,36-30,62-26
5,Cleveland Naps,90,64,.584,3.6,2.9,0.7,-0.1,0.6,92-62,-2,51-26,39-38,30-24,82-62,8-2,38-28,52-36
6,Chicago White Sox,88,64,.579,3.4,3.0,0.4,-0.1,0.4,85-67,3,51-25,37-39,35-23,60-48,28-16,28-37,60-27
7,St. Louis Browns,83,69,.546,3.5,3.1,0.4,-0.1,0.3,84-68,-1,46-31,37-38,27-23,76-60,7-9,31-34,52-35
8,Philadelphia Phillies,83,71,.539,3.3,2.9,0.4,-0.1,0.3,86-68,-3,43-34,40-37,28-26,60-54,22-17,28-38,55-33
9,Boston Red Sox,75,79,.487,3.6,3.3,0.3,0.0,0.3,84-70,-9,37-40,38-39,21-26,56-57,19-21,42-46,33-33
10,Cincinnati Reds,73,81,.474,3.1,3.5,-0.4,0.0,-0.3,69-85,4,40-37,33-44,20-25,56-74,17-7,32-56,41-25
11,Philadelphia Athletics,68,85,.444,3.1,3.6,-0.5,0.1,-0.4,66-87,2,46-30,22-55,25-40,61-72,6-12,31-56,37-29
12,Boston Doves,63,91,.409,3.4,4.0,-0.5,0.1,-0.5,67-87,-4,35-42,28-49,17-21,42-72,21-19,29-59,34-32
13,Washington Nationals,67,85,.441,3.1,3.5,-0.4,0.0,-0.3,68-84,-1,43-32,24-53,23-27,50-53,16-32,32-54,35-31
14,Brooklyn Superbas,53,101,.344,2.4,3.4,-0.9,0.1,-0.8,55-99,-2,27-50,26-51,18-36,36-72,17-29,24-64,29-37
15,New York Highlanders,51,103,.331,3.0,4.6,-1.6,0.2,-1.4,48-106,3,30-47,21-56,24-28,41-89,9-13,24-64,27-39
16,St. Louis Cardinals,49,105,.318,2.4,4.1,-1.6,0.2,-1.5,43-111,6,28-49,21-56,20-27,40-84,9-21,21-67,28-38
,Average,76,76,.500,3.4,3.4,,,,76-76,,41-35,35-41,24-24,57-59,19-17,31-45,45-31
