Tm,W,L,W-L%,GB
Boston Red Sox,89,73,.549,--
Detroit Tigers,88,74,.543,1.0
Milwaukee Brewers,87,75,.537,2.0
Toronto Blue Jays,87,75,.537,2.0
New York Yankees,85,76,.528,3.5
Cleveland Indians,78,84,.481,11.0
Baltimore Orioles,54,107,.335,34.5
Oakland Athletics,104,58,.642,--
Minnesota Twins,91,71,.562,13.0
Kansas City Royals,84,77,.522,19.5
California Angels,75,87,.463,29.0
Chicago White Sox,71,90,.441,32.5
Texas Rangers,70,91,.435,33.5
Seattle Mariners,68,93,.422,35.5
New York Mets,100,60,.625,--
Pittsburgh Pirates,85,75,.531,15.0
Montreal Expos,81,81,.500,20.0
Chicago Cubs,77,85,.475,24.0
St. Louis Cardinals,76,86,.469,25.0
Philadelphia Phillies,65,96,.404,35.5
Los Angeles Dodgers,94,67,.584,--
Cincinnati Reds,87,74,.540,7.0
San Diego Padres,83,78,.516,11.0
San Francisco Giants,83,79,.512,11.5
Houston Astros,82,80,.506,12.5
Atlanta Braves,54,106,.338,39.5
