team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"1,146,398",80,"14,330","1,134,969","10,115","41,267","120,957","211,705","224,586","287,367","239,716","62,067",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"876,084",71,"12,339","1,258,527","10,189","45,729","88,635","142,460","152,990","248,650","158,342","85,007",Memorial Stadium
Boston Red Sox,AL,"1,882,655",76,"24,772","1,125,539","10,953","35,323","190,176","277,130","312,958","376,114","496,346","229,931",Fenway Park
Chicago Cubs,NL,"1,043,409",71,"14,696","1,168,199","1,501","42,261","100,041","95,311","167,847","265,718","282,821","131,671",Wrigley Field
Chicago White Sox,AL,"801,347",67,"11,960","1,022,918","10,015","42,808","29,687","134,245","189,436","177,648","227,230","43,101","Comiskey Park I, County Stadium"
Cincinnati Reds,NL,"733,354",75,"9,778","1,163,377","10,036","28,141","93,743","105,557","141,395","141,045","154,797","96,817",Crosley Field
Cleveland Indians,AL,"856,815",73,"11,737","1,111,572","10,193","49,952","59,894","86,836","259,416","219,475","186,736","44,458",Cleveland Stadium
Detroit Tigers,AL,"2,032,257",73,"27,839","1,337,191","10,147","53,575","104,101","220,870","431,695","406,489","486,260","382,842",Tiger Stadium
Houston Astros,NL,"1,326,718",81,"16,379","877,059","10,142","37,330","110,759","230,748","315,882","257,380","295,662","116,287",Astrodome
Los Angeles Dodgers,NL,"1,581,093",78,"20,270","1,221,463","10,106","51,747","161,798","292,821","381,820","314,559","304,811","125,284",Dodger Stadium
Minnesota Twins,AL,"1,141,103",76,"15,015","1,081,998","1,710","36,234","130,092","170,059","180,175","269,807","290,791","100,179",Metropolitan Stadium
New York Mets,NL,"1,781,657",69,"25,821","883,966","11,169","57,011","164,184","253,542","407,178","416,808","339,528","200,417",Shea Stadium
New York Yankees,AL,"1,124,049",64,"17,563","1,344,568","10,042","56,614","125,398","160,490","182,797","202,979","305,164","147,221",Yankee Stadium I
Oakland Athletics,AL,"857,017",78,"10,987","930,872","10,214","50,164","120,870","197,817","134,604","159,919","133,173","110,634",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"668,040",69,"9,682","1,076,132","1,854","29,084","44,709","132,988","182,971","131,128","132,328","43,916",Shibe Park
Pittsburgh Pirates,NL,"693,386",70,"9,906","1,181,065","10,082","30,779","102,710","117,143","142,474","162,865","86,190","82,004",Forbes Field
San Francisco Giants,NL,"837,224",75,"11,163","1,585,762","10,465","40,402","140,954","133,326","178,758","151,959","128,188","104,039",Candlestick Park
St. Louis Cardinals,NL,"2,011,567",76,"26,468","1,530,854","10,530","49,743","220,036","280,353","351,225","421,338","497,744","240,871",Busch Stadium II
California Angels,AL,"1,025,956",80,"12,824","892,812","10,021","32,002","132,369","250,932","169,391","168,229","144,612","160,423",Angel Stadium of Anaheim
Washington Senators II,AL,"541,282",71,"7,624","1,032,568","1,069","33,977","86,954","117,780","104,762","108,215","52,101","71,470",Robert F. Kennedy Stadium
