Tm,W,L,W-L%,GB
New York Yankees,97,62,.610,--
Baltimore Orioles,88,74,.543,10.5
Boston Red Sox,83,79,.512,15.5
Cleveland Indians,81,78,.509,16.0
Detroit Tigers,74,87,.460,24.0
Milwaukee Brewers,66,95,.410,32.0
Kansas City Royals,90,72,.556,--
Oakland Athletics,87,74,.540,2.5
Minnesota Twins,85,77,.525,5.0
California Angels,76,86,.469,14.0
Texas Rangers,76,86,.469,14.0
Chicago White Sox,64,97,.398,25.5
Philadelphia Phillies,101,61,.623,--
Pittsburgh Pirates,92,70,.568,9.0
New York Mets,86,76,.531,15.0
Chicago Cubs,75,87,.463,26.0
St. Louis Cardinals,72,90,.444,29.0
Montreal Expos,55,107,.340,46.0
Cincinnati Reds,102,60,.630,--
Los Angeles Dodgers,92,70,.568,10.0
Houston Astros,80,82,.494,22.0
San Francisco Giants,74,88,.457,28.0
San Diego Padres,73,89,.451,29.0
Atlanta Braves,70,92,.432,32.0
