team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"817,947",71,"11,520","1,200,302","1,145","50,419","128,693","116,295","125,058","253,644","123,463","70,794",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,058,792",74,"14,308","1,307,821","10,006","51,195","104,005","176,765","222,528","234,264","176,328","144,902",Memorial Stadium
Boston Red Sox,AL,"1,895,885",79,"23,999","1,298,096","10,916","35,939","156,962","328,785","412,429","371,846","372,074","253,789",Fenway Park
Chicago Cubs,NL,"1,026,785",77,"13,335","1,337,622","10,116","44,818","134,289","151,560","155,589","163,991","278,797","142,559",Wrigley Field
Chicago White Sox,AL,"914,942",68,"13,455","1,151,156","1,144","40,848","64,100","119,720","236,348","207,654","202,246","84,874",Comiskey Park I
Cincinnati Reds,NL,"2,629,708",75,"35,063","1,841,447","16,603","53,390","260,029","417,953","374,785","656,316","544,132","376,493",Cinergy Field
Cleveland Indians,AL,"949,821",68,"13,968","1,176,527","10,124","64,529","105,967","119,357","160,422","317,419","151,726","94,930",Cleveland Stadium
Detroit Tigers,AL,"1,471,533",74,"19,886","1,308,519","10,059","51,822","79,928","270,239","238,684","347,233","376,782","158,667",Tiger Stadium
Houston Astros,NL,"886,622",75,"11,822","1,209,484","10,106","44,988","141,421","103,090","254,596","199,799","105,524","82,192",Astrodome
Kansas City Royals,AL,"1,679,160",78,"21,528","1,224,752","10,466","40,435","86,068","214,876","335,201","372,404","293,145","377,466",Kauffman Stadium
Los Angeles Dodgers,NL,"2,386,301",79,"30,206","1,524,282","10,483","53,652","323,018","400,863","567,998","370,941","472,429","251,052",Dodger Stadium
Milwaukee Brewers,AL,"1,011,399",75,"13,485","977,083","10,134","44,868","73,635","140,897","166,335","274,122","232,134","124,276",County Stadium
Minnesota Twins,AL,"715,394",75,"9,539","1,089,985","10,812","30,425","41,175","89,385","157,109","193,005","161,407","73,313",Metropolitan Stadium
Montreal Expos,NL,"646,698",67,"9,652","1,174,916","10,106","22,861","63,368","74,888","165,642","124,734","126,119","91,947",Parc Jarry
New York Mets,NL,"1,470,364",76,"19,347","1,391,907","10,007","53,523","85,088","319,948","226,307","291,669","335,890","211,462",Shea Stadium
New York Yankees,AL,"2,017,932",74,"27,269","1,581,052","10,477","53,160","195,927","333,210","436,985","399,927","379,521","272,362",Yankee Stadium I
Oakland Athletics,AL,"780,945",79,"9,885","1,396,407","1,960","42,592","59,938","153,116","108,098","180,783","136,633","142,377",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,480,016",78,"31,795","1,517,827","10,565","60,943","180,558","487,869","407,589","578,388","398,905","426,707",Veterans Stadium
Pittsburgh Pirates,NL,"1,025,952",73,"14,054","1,410,501","10,488","51,726","110,489","133,318","209,908","235,660","170,669","165,908",Three Rivers Stadium
San Diego Padres,NL,"1,458,478",77,"18,941","1,264,973","10,545","50,569","241,928","322,685","352,688","240,224","165,400","135,553",Qualcomm Stadium
San Francisco Giants,NL,"625,382",72,"8,686","1,359,540","1,452","37,261","126,607","87,204","113,622","105,797","94,549","97,603",Candlestick Park
St. Louis Cardinals,NL,"1,200,323",79,"15,194","1,421,775","10,288","34,159","96,943","178,420","252,968","270,240","265,717","136,035",Busch Stadium II
Texas Rangers,AL,"1,161,682",77,"15,087","1,058,469","10,273","40,854","170,226","221,717","344,322","208,352","136,520","80,545",Arlington Stadium
California Angels,AL,"1,006,774",78,"12,907","1,094,392","10,114","31,535","131,599","255,759","142,222","183,512","154,347","139,335",Angel Stadium of Anaheim
