Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Chicago American Giants,43,17,2,.717,5.0,3.2,1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Cleveland Indians,98,56,0,.636,5.6,4.2,1.4,-0.2,1.2,97-57,1,51-27,47-29,5-6,23-23,67-35,31-21,21-23,77-33
3,Brooklyn Robins,93,61,1,.604,4.3,3.4,0.9,-0.1,0.7,93-61,0,49-29,44-32,10-7,27-28,73-46,20-15,37-29,56-32
4,Chicago White Sox,96,58,0,.623,5.2,4.3,0.8,-0.1,0.7,89-65,7,52-25,44-33,14-5,26-16,63-43,33-15,20-24,76-34
5,Kansas City Monarchs,44,33,2,.571,5.1,4.5,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,New York Giants,86,68,1,.558,4.4,3.5,0.9,-0.1,0.8,93-61,-7,45-35,41-33,11-7,24-21,52-46,34-22,36-30,50-38
7,New York Yankees,95,59,0,.617,5.4,4.1,1.4,-0.2,1.2,97-57,-2,49-28,46-31,7-2,23-18,71-49,24-10,25-19,70-40
8,Detroit Stars,37,27,0,.578,5.0,4.4,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,Cincinnati Reds,82,71,1,.536,4.1,3.7,0.5,-0.1,0.4,85-68,-3,42-34,40-37,8-11,23-23,55-52,27-19,30-36,52-35
10,Indianapolis ABCs,44,38,4,.537,4.5,4.8,-0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
11,Pittsburgh Pirates,79,75,1,.513,3.4,3.6,-0.1,0.0,-0.1,74-80,5,42-35,37-40,13-9,29-23,57-50,22-25,29-37,50-38
12,St. Louis Browns,76,77,1,.497,5.2,5.0,0.2,0.0,0.2,79-74,-3,40-38,36-39,3-10,20-18,50-54,26-23,25-41,51-36
13,Cuban Stars West,35,34,0,.507,4.7,4.1,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,Chicago Cubs,75,79,0,.487,4.0,4.1,-0.1,0.0,-0.1,75-79,0,43-34,32-45,9-8,19-23,53-54,22-25,36-52,39-27
15,St. Louis Cardinals,75,79,1,.487,4.4,4.4,0.0,0.0,0.0,76-78,-1,38-38,37-41,12-14,23-25,56-57,19-22,38-50,37-29
16,Boston Red Sox,72,81,1,.471,4.2,4.5,-0.3,0.0,-0.3,72-81,0,41-35,31-46,10-8,24-29,56-65,16-16,27-39,45-42
17,Washington Nationals,68,84,1,.447,4.7,5.2,-0.5,0.1,-0.4,69-83,-1,37-38,31-46,5-8,21-27,48-61,20-23,23-43,45-41
18,St. Louis Giants,32,40,0,.444,3.9,4.7,-0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
19,Boston Braves,62,90,1,.408,3.4,4.4,-1.0,0.1,-0.8,59-93,3,36-37,26-53,10-11,26-26,41-59,21-31,34-53,28-37
20,Detroit Tigers,61,93,1,.396,4.2,5.4,-1.2,0.1,-1.0,60-94,1,32-46,29-47,6-9,22-22,48-72,13-21,17-49,44-44
21,Dayton Marcos,16,36,0,.308,3.8,5.8,-2.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
22,Philadelphia Phillies,62,91,0,.405,3.7,4.7,-1.0,0.1,-0.9,60-93,2,32-45,30-46,8-14,22-24,42-65,20-26,35-53,27-38
23,Philadelphia Athletics,48,106,2,.312,3.6,5.3,-1.8,0.2,-1.6,50-104,-2,25-50,23-56,4-6,16-22,31-81,17-25,15-51,33-55
24,Chicago Giants,5,31,0,.139,3.5,6.0,-2.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,61,61,0,.500,4.4,4.5,,,,61-61,,27-23,23-27,5-5,15-15,35-37,15-14,18-26,32-24
