Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Kansas City Monarchs,63,17,0,.787,6.6,3.7,2.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Philadelphia Athletics,104,46,1,.693,6.0,4.1,1.9,-0.2,1.7,100-50,4,57-16,47-30,9-4,24-14,88-41,16-5,39-25,65-21
3,Baltimore Black Sox,55,25,0,.688,6.6,4.8,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
4,Chicago Cubs,98,54,4,.645,6.3,4.9,1.4,-0.2,1.3,94-58,4,52-25,46-29,5-5,21-20,72-42,26-12,36-28,62-26
5,St. Louis Stars,56,34,1,.622,6.8,4.7,2.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,New York Lincoln Giants,40,26,2,.606,7.7,6.3,1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,Pittsburgh Pirates,88,65,1,.575,5.9,5.1,0.8,-0.1,0.7,87-66,1,45-31,43-34,6-3,24-18,52-43,36-22,37-28,51-37
8,New York Yankees,88,66,0,.571,5.8,5.0,0.8,-0.1,0.7,87-67,1,49-28,39-38,8-2,22-14,64-43,24-23,30-36,58-30
9,Chicago American Giants,51,40,0,.560,4.4,4.5,-0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,New York Giants,84,67,1,.556,5.9,4.7,1.2,-0.1,1.1,92-59,-8,39-37,45-30,8-10,15-28,62-48,22-19,36-29,48-38
11,Hilldale Club,43,35,3,.551,6.1,5.5,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,Cleveland Indians,81,71,0,.533,4.7,4.8,-0.1,0.0,-0.1,74-78,7,44-32,37-39,5-8,25-21,51-51,30-20,31-34,50-37
13,Homestead Grays,32,29,3,.525,5.7,5.8,-0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,St. Louis Browns,79,73,2,.520,4.8,4.6,0.1,0.0,0.1,78-74,1,41-36,38-37,3-5,21-23,58-53,21-20,30-35,49-38
15,St. Louis Cardinals,78,74,2,.513,5.4,5.2,0.2,0.0,0.1,78-74,0,43-32,35-42,9-1,21-18,57-50,21-24,20-44,58-30
16,Detroit Stars,39,42,0,.481,6.3,6.5,-0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Washington Nationals,71,81,1,.467,4.8,5.1,-0.3,0.0,-0.3,72-80,-1,37-40,34-41,6-6,25-26,54-44,17-37,35-51,36-30
18,Philadelphia Phillies,71,82,1,.464,5.8,6.7,-0.9,0.1,-0.8,67-86,4,39-37,32-45,4-8,20-18,40-56,31-26,30-57,41-25
19,Cuban Stars West,17,37,1,.315,3.8,5.5,-1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Cuban Stars East,15,41,2,.268,5.3,7.5,-2.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Brooklyn Robins,70,83,0,.458,4.9,5.8,-0.9,0.1,-0.8,65-88,5,42-35,28-48,8-5,26-17,41-49,29-34,39-48,31-35
22,Detroit Tigers,70,84,1,.455,6.0,6.0,0.0,0.0,0.0,77-77,-7,38-39,32-45,7-10,23-29,60-63,10-21,34-54,36-30
23,Birmingham Black Barons,33,56,1,.371,4.7,6.1,-1.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Atlantic City Bacharach Giants,21,50,2,.296,5.6,8.0,-2.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Cincinnati Reds,66,88,1,.429,4.4,4.9,-0.5,0.1,-0.4,70-84,-4,38-39,28-49,4-8,21-24,58-78,8-10,30-58,36-30
26,Chicago White Sox,59,93,0,.388,4.1,5.2,-1.1,0.1,-0.9,60-92,-1,35-41,24-52,7-8,20-26,41-65,18-28,28-58,31-35
27,Memphis Red Sox,21,54,1,.280,3.8,5.5,-1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
28,Boston Red Sox,58,96,1,.377,3.9,5.2,-1.3,0.2,-1.1,57-97,1,32-45,26-51,5-7,21-28,47-69,11-27,29-59,29-37
29,Boston Braves,56,98,0,.364,4.3,5.7,-1.4,0.2,-1.2,57-97,-1,34-43,22-55,5-9,23-28,37-74,19-24,32-56,24-42
,Average,58,58,1,.500,5.4,5.4,,,,58-59,,22-19,19-22,3-3,12-12,30-29,11-12,17-24,24-17
