Tm,W,L,W-L%,GB
Baltimore Orioles,101,61,.623,--
Tampa Bay Rays,99,63,.611,2.0
Toronto Blue Jays,89,73,.549,12.0
New York Yankees,82,80,.506,19.0
Boston Red Sox,78,84,.481,23.0
Minnesota Twins,87,75,.537,--
Detroit Tigers,78,84,.481,9.0
Cleveland Guardians,76,86,.469,11.0
Chicago White Sox,61,101,.377,26.0
Kansas City Royals,56,106,.346,31.0
Houston Astros,90,72,.556,--
Texas Rangers,90,72,.556,--
Seattle Mariners,88,74,.543,2.0
Los Angeles Angels,73,89,.451,17.0
Oakland Athletics,50,112,.309,40.0
Atlanta Braves,104,58,.642,--
Philadelphia Phillies,90,72,.556,14.0
Miami Marlins,84,78,.519,20.0
New York Mets,75,87,.463,29.0
Washington Nationals,71,91,.438,33.0
Milwaukee Brewers,92,70,.568,--
Chicago Cubs,83,79,.512,9.0
Cincinnati Reds,82,80,.506,10.0
Pittsburgh Pirates,76,86,.469,16.0
St. Louis Cardinals,71,91,.438,21.0
Los Angeles Dodgers,100,62,.617,--
Arizona Diamondbacks,84,78,.519,16.0
San Diego Padres,82,80,.506,18.0
San Francisco Giants,79,83,.488,21.0
Colorado Rockies,59,103,.364,41.0
