team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"1,048,352",77,"13,615","1,572,190","10,056","46,071","85,977","85,092","152,434","319,615","168,077","237,157",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,805,020",80,"22,563","1,609,706","10,092","51,649","163,412","199,767","257,128","357,680","498,063","328,970",Memorial Stadium
Boston Red Sox,AL,"1,956,110",79,"24,761","1,807,865","10,580","35,026","161,972","327,242","315,706","400,781","320,124","430,285",Fenway Park
Chicago Cubs,NL,"1,204,582",76,"15,850","1,682,712","1,171","36,430","147,219","223,605","275,583","184,110","246,225","127,840",Wrigley Field
Chicago White Sox,AL,"1,212,873",75,"16,172","1,394,055","10,001","36,692","112,508","247,442","222,413","350,005","190,941","89,564",Comiskey Park I
Cincinnati Reds,NL,"2,031,596",76,"26,732","1,892,590","10,296","51,774","184,867","361,900","332,002","432,889","443,645","276,293",Cinergy Field
Cleveland Indians,AL,"1,036,352",72,"14,394","1,430,133","10,157","73,096","104,078","130,223","176,192","240,310","227,001","158,548",Cleveland Stadium
Detroit Tigers,AL,"1,785,360",76,"23,492","1,458,770","10,395","50,687","147,746","225,654","241,687","390,358","506,654","273,261",Tiger Stadium
Houston Astros,NL,"2,308,092",79,"29,216","1,852,127","15,017","46,213","331,482","212,741","565,029","381,752","341,977","475,111",Astrodome
Kansas City Royals,AL,"2,290,056",80,"28,626","1,624,682","14,605","41,860","207,178","312,247","387,987","551,961","485,154","345,529",Kauffman Stadium
Los Angeles Dodgers,NL,"3,248,887",81,"40,110","2,053,069","21,691","52,339","414,165","437,783","493,632","620,859","505,253","777,195",Dodger Stadium
Milwaukee Brewers,AL,"1,865,583",77,"24,228","1,608,464","10,414","53,313","155,253","286,109","312,973","514,326","440,390","156,532",County Stadium
Minnesota Twins,AL,"769,206",73,"10,537","1,363,073","10,793","36,268","77,903","118,295","111,351","277,558","122,647","61,452",Metropolitan Stadium
Montreal Expos,NL,"2,185,122",75,"29,135","1,655,302","10,327","57,121","115,893","184,602","506,937","424,304","515,811","437,575",Stade Olympique
New York Mets,NL,"1,178,738",76,"15,510","1,546,531","1,754","51,097","48,551","123,138","233,633","351,757","337,739","83,920",Shea Stadium
New York Yankees,AL,"2,627,417",79,"33,258","2,465,281","16,024","55,410","220,981","375,440","554,687","358,648","491,289","626,372",Yankee Stadium I
Oakland Athletics,AL,"842,319",75,"11,231","1,578,649","10,549","49,300","72,868","138,543","249,200","83,838","213,222","84,648",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,658,957",78,"34,089","1,766,349","20,525","53,254","250,763","463,141","530,825","427,509","502,879","483,840",Veterans Stadium
Pittsburgh Pirates,NL,"1,641,757",74,"22,186","2,176,243","10,196","49,626","124,769","214,220","300,245","304,994","461,945","235,584",Three Rivers Stadium
San Diego Padres,NL,"1,152,438",78,"14,775","1,613,880","10,265","39,605","170,682","247,941","246,982","207,184","119,279","160,370",Qualcomm Stadium
San Francisco Giants,NL,"1,098,130",78,"14,079","1,727,343","10,149","51,123","197,171","120,399","222,777","200,489","192,798","164,496",Candlestick Park
Seattle Mariners,AL,"837,886",80,"10,474","1,397,344","10,015","43,594","119,824","117,664","233,919","91,557","165,456","109,466",Kingdome
St. Louis Cardinals,NL,"1,399,755",80,"17,497","1,618,070","10,025","42,867","151,577","266,439","218,976","287,024","341,519","134,220",Busch Stadium II
Texas Rangers,AL,"1,198,165",77,"15,561","1,499,813","10,632","34,463","143,428","280,804","254,616","198,577","206,949","113,791",Arlington Stadium
Toronto Blue Jays,AL,"1,400,327",75,"18,671","1,286,412","11,235","33,077","49,505","332,068","252,047","245,343","236,754","284,610",Exhibition Stadium
California Angels,AL,"2,297,327",81,"28,362","1,399,754","19,869","40,528","267,464","455,509","512,668","315,484","440,981","305,221",Angel Stadium of Anaheim
