Tm,W,L,W-L%,GB
New York Yankees,100,63,.613,--
Boston Red Sox,99,64,.607,1.0
Milwaukee Brewers,93,69,.574,6.5
Baltimore Orioles,90,71,.559,9.0
Detroit Tigers,86,76,.531,13.5
Cleveland Indians,69,90,.434,29.0
Toronto Blue Jays,59,102,.366,40.0
Kansas City Royals,92,70,.568,--
California Angels,87,75,.537,5.0
Texas Rangers,87,75,.537,5.0
Minnesota Twins,73,89,.451,19.0
Chicago White Sox,71,90,.441,20.5
Oakland Athletics,69,93,.426,23.0
Seattle Mariners,56,104,.350,35.0
Philadelphia Phillies,90,72,.556,--
Pittsburgh Pirates,88,73,.547,1.5
Chicago Cubs,79,83,.488,11.0
Montreal Expos,76,86,.469,14.0
St. Louis Cardinals,69,93,.426,21.0
New York Mets,66,96,.407,24.0
Los Angeles Dodgers,95,67,.586,--
Cincinnati Reds,92,69,.571,2.5
San Francisco Giants,89,73,.549,6.0
San Diego Padres,84,78,.519,11.0
Houston Astros,74,88,.457,21.0
Atlanta Braves,69,93,.426,26.0
