Tm,W,L,W-L%,GB
Detroit Tigers,86,70,.551,--
Boston Red Sox,85,70,.548,0.5
Baltimore Orioles,80,74,.519,5.0
New York Yankees,79,76,.510,6.5
Cleveland Indians,72,84,.462,14.0
Milwaukee Brewers,65,91,.417,21.0
Oakland Athletics,93,62,.600,--
Chicago White Sox,87,67,.565,5.5
Minnesota Twins,77,77,.500,15.5
Kansas City Royals,76,78,.494,16.5
California Angels,75,80,.484,18.0
Texas Rangers,54,100,.351,38.5
Pittsburgh Pirates,96,59,.619,--
Chicago Cubs,85,70,.548,11.0
New York Mets,83,73,.532,13.5
St. Louis Cardinals,75,81,.481,21.5
Montreal Expos,70,86,.449,26.5
Philadelphia Phillies,59,97,.378,37.5
Cincinnati Reds,95,59,.617,--
Los Angeles Dodgers,85,70,.548,10.5
Houston Astros,84,69,.549,10.5
Atlanta Braves,70,84,.455,25.0
San Francisco Giants,69,86,.445,26.5
San Diego Padres,58,95,.379,36.5
