Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,New York Yankees,94,60,0,.610,4.9,4.0,0.9,-0.1,0.8,91-63,3,50-27,44-33,11-7,27-19,76-45,18-15,53-35,41-25
2,New York Giants,93,61,2,.604,5.5,4.2,1.2,-0.2,1.1,95-59,-2,51-27,42-34,6-9,30-23,76-39,17-22,50-38,43-23
3,Kansas City Monarchs,47,31,2,.603,6.0,4.8,1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
4,Indianapolis ABCs,50,34,1,.595,6.1,4.7,1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
5,St. Louis Browns,93,61,0,.604,5.6,4.2,1.5,-0.2,1.3,98-56,-5,54-23,39-38,7-9,23-26,64-46,29-15,51-37,42-24
6,Cincinnati Reds,86,68,2,.558,4.9,4.3,0.6,-0.1,0.5,86-68,0,48-29,38-39,7-4,23-26,67-58,19-10,40-48,46-20
7,Chicago American Giants,37,24,1,.607,5.2,4.6,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,Pittsburgh Pirates,85,69,1,.552,5.6,4.7,0.8,-0.1,0.7,88-66,-3,45-33,40-36,7-7,17-17,66-50,19-19,43-45,42-24
9,St. Louis Cardinals,85,69,0,.552,5.6,5.3,0.3,0.0,0.2,81-73,4,42-35,43-34,7-3,32-21,65-56,20-13,45-43,40-26
10,Detroit Tigers,79,75,1,.513,5.3,5.1,0.2,0.0,0.2,80-74,-1,43-34,36-41,6-7,23-23,59-61,20-14,32-56,47-19
11,Detroit Stars,42,31,1,.575,5.8,4.8,1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,Cleveland Indians,78,76,1,.506,5.0,5.3,-0.3,0.0,-0.3,73-81,5,44-35,34-41,8-7,18-22,63-68,15-8,38-50,40-26
13,Chicago Cubs,80,74,2,.519,4.9,5.2,-0.2,0.0,-0.2,74-80,6,39-37,41-37,7-10,19-22,59-52,21-22,42-46,38-28
14,Chicago White Sox,77,77,1,.500,4.5,4.5,0.0,0.0,0.0,77-77,0,43-34,34-43,16-12,29-26,54-54,23-23,46-42,31-35
15,St. Louis Stars,26,36,0,.419,6.1,6.9,-0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,Pittsburgh Keystones,14,24,2,.368,5.5,7.1,-1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Brooklyn Robins,76,78,1,.494,4.8,4.9,-0.1,0.0,-0.1,76-78,0,44-34,32-44,9-5,26-24,60-63,16-15,46-64,30-14
18,Washington Nationals,69,85,0,.448,4.2,4.6,-0.4,0.0,-0.3,71-83,-2,40-39,29-46,3-8,22-28,57-67,12-18,47-63,22-22
19,Philadelphia Athletics,65,89,1,.422,4.5,5.4,-0.8,0.1,-0.7,66-88,-1,38-39,27-50,5-4,18-20,56-76,9-13,41-69,24-20
20,Philadelphia Phillies,57,96,1,.373,4.8,6.0,-1.2,0.2,-1.0,61-92,-4,35-41,22-55,7-9,14-24,49-70,8-26,37-73,20-23
21,Cleveland Tate Stars,15,26,1,.366,4.6,5.9,-1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
22,Boston Red Sox,61,93,0,.396,3.9,5.0,-1.1,0.1,-1.0,60-94,1,31-42,30-51,8-10,25-21,51-79,10-14,41-69,20-24
23,Boston Braves,53,100,1,.346,3.9,5.3,-1.5,0.2,-1.3,55-98,-2,32-43,21-57,4-7,18-22,41-71,12-29,38-72,15-28
24,Cuban Stars West,18,43,0,.295,4.8,7.1,-2.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,61,61,0,.500,5.1,5.2,,,,61-61,,28-23,23-28,4-4,15-15,40-39,11-11,28-35,22-15
