Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Indianapolis ABCs,,,27.0,26.5,100,100,1,0,2,,Dismukes
Atlantic City Bacharach Giants,,,28.5,25.1,100,100,0,0,1,,Lundy
Birmingham Black Barons,,,0.0,0.0,100,100,0,0,0,,
Baltimore Black Sox,,,27.1,27.7,100,100,2,0,3,,"Miller, Mahoney and Hall"
Boston Red Sox,"229,688","2,945",29.2,28.7,100,102,0,0,1,"$97,400",Chance
Brooklyn Royal Giants,,,29.4,30.3,100,100,0,0,0,,Douglass
Brooklyn Robins,"564,666","7,239",29.4,28.7,98,97,3,0,0,"$124,399",Robinson
Boston Braves,"227,802","2,958",29.4,29.1,95,99,2,0,0,"$116,400",Mitchell
Chicago American Giants,,,28.6,26.1,100,100,2,0,1,,Foster
Chicago Cubs,"703,705","9,139",25.6,27.7,100,100,2,0,1,"$148,350",Killefer
Chicago White Sox,"573,778","7,650",28.8,26.3,98,99,5,0,1,"$146,300",Gleason
Cincinnati Reds,"575,063","7,373",29.8,28.8,98,97,2,0,0,"$175,450",Moran
Cleveland Indians,"558,856","7,165",28.1,27.6,100,100,3,0,1,"$97,200",Speaker
Cuban Stars East,,,26.6,23.6,100,100,1,0,2,,Chacón
Cuban Stars West,,,26.0,30.0,100,100,0,0,0,,
Cleveland Tate Stars,,,0.0,0.0,100,100,0,0,0,,
Detroit Tigers,"911,377","11,836",29.0,27.4,98,97,3,0,1,"$113,200",Cobb
Detroit Stars,,,25.9,26.4,100,100,2,0,3,,Petway
Hilldale Club,,,28.1,24.8,100,100,4,0,3,,Lloyd
Kansas City Monarchs,,,27.0,28.6,100,100,2,0,3,,Crawford and Méndez
Milwaukee Bears,,,27.4,27.0,100,100,1,0,0,,Hill
Memphis Red Sox,,,0.0,0.0,100,100,0,0,0,,
New York Lincoln Giants,,,30.2,26.5,100,100,1,0,3,,Williams
New York Giants,"820,780","10,659",27.7,27.7,100,96,8,0,3,"$198,400",McGraw
New York Yankees,"1,007,066","13,251",28.1,28.8,102,99,4,0,2,"$214,650",Huggins
Philadelphia Athletics,"534,122","7,122",25.7,25.7,101,103,0,0,1,"$90,300",Mack
Philadelphia Phillies,"228,168","3,042",28.1,28.5,111,115,0,0,1,"$102,800",Fletcher
Pittsburgh Pirates,"611,082","7,936",29.0,30.7,102,100,4,0,2,"$161,300",McKechnie
St. Louis Browns,"430,296","5,517",29.5,28.9,106,105,0,0,0,"$102,050",Fohl and Austin
St. Louis Stars,,,28.9,25.1,100,100,1,0,2,,Hewitt and Taylor
St. Louis Cardinals,"338,551","4,340",27.4,29.8,97,97,3,0,0,"$146,800",Rickey
Toledo Tigers,,,29.7,32.2,100,100,0,0,0,,Johnson and Taylor
Washington Nationals,"357,406","4,524",28.1,29.4,95,95,4,0,2,"$104,900",Bush
