Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Baltimore Elite Giants,,,28.1,27.2,100,100,2,6,14,,Snow
Boston Red Sox,"573,070","7,641",27.7,29.0,104,102,5,4,9,"$203,000",Cronin
Brooklyn Dodgers,"955,668","12,252",29.3,30.6,105,104,2,4,11,"$158,250",Durocher
Boston Bees,"285,994","3,918",28.4,31.1,92,94,2,1,10,"$148,350",Stengel
Chicago American Giants,,,28.6,27.7,100,100,0,6,9,,Taylor
Cleveland Bears,,,26.2,27.6,100,100,0,3,5,,Mitchell
Chicago Cubs,"726,663","9,083",29.0,31.7,102,100,3,3,15,"$239,700",Hartnett
Chicago White Sox,"594,104","7,716",30.5,30.2,103,103,2,2,8,"$187,350",Dykes
Cincinnati Reds,"981,443","12,117",28.8,28.9,102,99,2,7,15,"$201,900",McKechnie
Cleveland Indians,"563,926","7,324",26.8,26.5,97,95,3,2,13,"$141,600",Vitt
Detroit Tigers,"836,279","10,722",28.5,28.0,107,105,4,3,19,"$177,817",Baker
Homestead Grays,,,29.1,28.7,100,100,3,6,10,,Harris
Indianapolis ABCs/Atlanta Black Crackers,,,26.4,25.4,100,100,0,0,3,,Kemp and Williams
Kansas City Monarchs,,,28.6,26.1,100,100,5,6,13,,Cooper
Memphis Red Sox,,,30.1,31.0,100,100,0,7,11,,Radcliffe
New York Black Yankees,,,31.0,32.1,100,100,0,2,8,,Scales
Newark Eagles,,,28.5,22.1,100,100,5,6,14,,Lundy
New York Cubans,,,30.6,34.9,100,100,0,1,3,,Fernández
New York Giants,"702,457","9,493",28.9,28.6,101,101,3,3,10,"$201,125",Terry
New York Yankees,"859,785","11,166",27.7,30.5,99,94,6,10,19,"$335,100",McCarthy
Philadelphia Athletics,"395,022","5,198",26.5,28.0,97,101,0,2,8,"$119,550",Mack and Mack
Philadelphia Phillies,"277,973","3,756",28.0,27.7,94,100,1,1,10,"$159,500",Prothro
Pittsburgh Pirates,"376,734","4,893",28.6,28.9,98,98,5,1,14,"$203,350",Traynor
Philadelphia Stars,,,31.0,27.8,100,100,1,3,15,,Wilson and Dunn
St. Louis Stars,,,26.3,24.5,100,100,0,4,10,,Mitchell
St. Louis Browns,"109,159","1,399",27.4,28.4,102,105,0,2,9,"$136,150",Haney
St. Louis Cardinals,"400,245","5,066",27.1,29.4,106,105,3,5,16,"$187,500",Blades
Toledo Crawfords,,,29.2,26.1,100,100,1,4,13,,Charleston
Toledo Crawfords,,,30.0,23.6,100,100,1,0,12,,Charleston
Washington Nationals,"339,257","4,406",26.5,26.2,92,93,2,1,13,"$83,000",Harris
