Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Detroit Wolves,26,5,0,.839,5.3,3.5,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Chicago American Giants,34,12,0,.739,4.5,4.0,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,New York Yankees,107,47,2,.695,6.4,4.6,1.8,-0.2,1.6,99-55,8,62-15,45-32,9-7,32-19,79-32,28-15,57-31,50-16
4,Chicago Cubs,90,64,0,.584,4.7,4.1,0.6,-0.1,0.5,86-68,4,53-24,37-40,12-6,26-23,76-55,14-9,51-37,39-27
5,Monroe Monarchs,34,14,0,.708,5.0,3.1,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Philadelphia Athletics,94,60,0,.610,6.4,4.9,1.5,-0.2,1.3,95-59,-1,51-26,43-34,6-9,25-22,84-41,10-19,45-43,49-17
7,Homestead Grays,24,16,1,.600,6.0,4.3,1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,Pittsburgh Pirates,86,68,0,.558,4.6,4.6,-0.1,0.0,-0.1,76-78,10,45-31,41-37,10-7,32-19,58-34,28-34,43-45,43-23
9,Washington Nationals,93,61,0,.604,5.5,4.6,0.8,-0.1,0.7,88-66,5,51-26,42-35,12-3,27-23,63-37,30-24,45-43,48-18
10,Baltimore Black Sox,29,26,0,.527,4.9,5.2,-0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
11,Birmingham Black Barons,10,9,0,.526,3.5,5.1,-1.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,Brooklyn Dodgers,81,73,0,.526,4.9,4.9,0.0,0.0,0.0,77-77,4,44-34,37-39,6-10,25-16,68-60,13-13,37-51,44-22
13,Nashville Elite Giants,24,23,0,.511,3.8,4.1,-0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,Cleveland Indians,87,65,1,.572,5.5,4.9,0.6,-0.1,0.6,85-67,2,43-33,44-32,4-8,23-26,63-43,24-22,39-48,48-17
15,Philadelphia Phillies,78,76,0,.506,5.5,5.2,0.3,0.0,0.3,81-73,-3,45-32,33-44,11-7,20-25,56-61,22-15,45-43,33-33
16,Pollock's Cuban Stars,10,12,0,.455,4.1,5.0,-0.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Detroit Tigers,76,75,2,.503,5.2,5.1,0.1,0.0,0.1,77-74,-1,42-34,34-41,8-7,26-27,53-51,23-24,33-54,43-21
18,Boston Braves,77,77,1,.500,4.2,4.2,0.0,0.0,0.0,76-78,1,44-33,33-44,8-12,31-24,67-69,10-8,44-44,33-33
19,Newark Browns,0,4,0,.000,4.3,11.0,-6.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Montgomery Grey Sox,23,25,1,.479,5.2,4.1,1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,New York Giants,72,82,0,.468,4.9,4.6,0.3,0.0,0.3,82-72,-10,37-40,35-42,8-9,18-31,51-61,21-21,43-67,29-15
22,St. Louis Cardinals,72,82,2,.468,4.4,4.6,-0.2,0.0,-0.2,74-80,-2,42-35,30-47,9-9,23-22,50-55,22-27,48-62,24-20
23,St. Louis Browns,63,91,0,.409,4.8,5.8,-1.1,0.1,-0.9,63-91,0,33-42,30-49,7-8,24-23,44-64,19-27,34-76,29-15
24,Columbus Turf Club,3,5,2,.375,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Cleveland Stars,5,11,1,.312,3.7,6.3,-2.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
26,Hilldale Club,11,18,0,.379,4.0,5.3,-1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
27,Chicago White Sox,49,102,1,.325,4.4,5.9,-1.5,0.2,-1.3,56-95,-7,28-49,21-53,10-8,18-25,38-84,11-18,31-76,18-26
28,Indianapolis ABCs,18,21,4,.462,3.8,5.0,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
29,Cincinnati Reds,60,94,1,.390,3.7,4.6,-0.9,0.1,-0.8,62-92,-2,33-44,27-50,6-10,19-34,43-61,17-33,47-63,13-31
30,Washington Pilots,17,30,0,.362,5.3,5.8,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
31,Boston Red Sox,43,111,0,.279,3.7,5.9,-2.3,0.3,-2.0,45-109,-2,27-50,16-61,5-11,18-28,34-85,9-26,24-86,19-25
32,Memphis Red Sox,23,27,0,.460,4.1,4.5,-0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
33,Little Rock Grays,5,12,0,.294,3.5,5.2,-1.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
34,Atlanta Black Crackers,6,17,0,.261,2.3,8.8,-6.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
35,Louisville Black Caps,12,27,1,.308,3.9,5.2,-1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,44,44,0,.500,4.5,5.0,,,,43-44,,19-15,15-19,3-3,11-11,26-25,8-9,19-24,16-10
