Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Birmingham Black Barons,,,29.9,30.1,100,100,0,4,12,,Welch
Baltimore Elite Giants,,,30.1,29.7,100,100,1,4,13,,Snow
Boston Red Sox,"730,340","9,485",26.7,29.1,104,102,4,4,12,"$231,200",Cronin
Brooklyn Dodgers,"1,037,765","13,136",29.3,31.2,102,99,4,7,18,,Durocher
Boston Braves,"285,332","4,019",27.1,26.6,97,100,3,2,12,,Stengel
Chicago American Giants,,,30.8,27.8,100,100,1,5,13,,Taylor
Cincinnati-Cleveland Buckeyes,,,27.3,30.4,100,100,0,6,13,,Burch and Woods
Chicago Cubs,"590,972","7,577",26.9,28.9,96,96,1,1,11,,Wilson
Chicago White Sox,"425,734","6,082",29.2,29.7,97,98,2,1,10,"$183,850",Dykes
Cincinnati Reds,"427,031","5,546",28.7,31.2,100,99,0,5,16,,McKechnie
Cleveland Indians,"459,447","5,743",27.3,29.3,94,94,2,3,14,"$116,100",Boudreau
Detroit Tigers,"580,087","7,534",28.3,27.1,108,108,2,4,12,"$87,900",Baker
Homestead Grays,,,32.7,29.7,100,100,5,5,19,,Harris
Jacksonville Red Caps,,,28.6,26.3,100,100,0,1,8,,Mitchell
Kansas City Monarchs,,,29.7,31.1,100,100,4,10,15,,Duncan
Memphis Red Sox,,,31.4,29.4,100,100,0,7,11,,Brown
New York Black Yankees,,,30.2,27.4,100,100,0,2,10,,Burnett
Newark Eagles,,,26.8,23.2,100,100,6,6,14,,Wells
New York Cubans,,,31.7,28.3,100,100,0,6,9,,Fernández
New York Giants,"779,621","9,869",29.6,29.4,101,101,3,5,16,,Ott
New York Yankees,"922,011","11,974",28.3,30.6,98,94,6,9,21,"$347,950",McCarthy
Philadelphia Athletics,"423,487","5,572",28.7,27.4,99,104,0,2,6,"$124,100",Mack
Philadelphia Phils,"230,183","3,111",26.9,26.0,94,99,2,1,4,,Lobert
Pittsburgh Pirates,"448,897","5,830",27.8,31.4,103,102,1,1,10,,Frisch
Philadelphia Stars,,,31.3,32.0,100,100,0,5,11,,Curry
St. Louis Browns,"255,617","3,320",28.7,31.7,102,102,1,1,9,"$153,600",Sewell
St. Louis Cardinals,"553,552","7,097",26.4,26.9,108,103,2,5,15,,Southworth
Washington Nationals,"403,493","5,240",26.6,27.4,99,100,1,2,12,"$76,150",Harris
