Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Birmingham Black Barons,,,29.0,31.1,100,100,0,2,12,,Welch
Baltimore Elite Giants,,,29.3,29.6,100,100,1,4,12,,Snow
Boston Red Sox,"506,975","6,500",30.2,29.4,99,100,2,4,8,"$231,250",Cronin
Brooklyn Dodgers,"605,905","7,869",28.3,28.3,98,98,2,3,11,,Durocher
Boston Braves,"208,691","2,676",27.7,29.0,104,106,0,4,6,,Coleman
Chicago American Giants,,,28.4,28.3,100,100,0,3,10,,DeMoss
Cleveland Buckeyes,,,30.1,30.1,100,100,0,4,12,,Woods
Cincinnati-Indianapolis Clowns,,,29.8,31.5,100,100,0,1,8,,Walker
Chicago Cubs,"640,110","8,207",29.5,30.3,99,97,1,3,10,,"Wilson, Johnson and Grimm"
Chicago White Sox,"563,539","7,319",30.6,29.3,98,99,0,2,9,"$175,650",Dykes
Cincinnati Reds,"409,567","5,251",30.4,31.7,96,97,0,4,8,,McKechnie
Cleveland Indians,"475,272","6,093",28.4,30.1,96,96,1,4,13,"$109,900",Boudreau
Detroit Tigers,"923,176","11,836",31.7,27.1,105,103,1,4,6,"$79,100",O'Neill
Homestead Grays,,,34.5,32.7,100,100,5,4,14,,Taylor
Kansas City Monarchs,,,30.3,32.5,100,100,3,1,11,,Duncan
Memphis Red Sox,,,32.3,30.8,100,100,0,2,9,,Jones
New York Black Yankees,,,31.4,36.0,100,100,0,0,4,,Williams
Newark Eagles,,,27.1,26.5,100,100,3,3,11,,Suttles
New York Cubans,,,32.3,30.6,100,100,0,4,11,,Fernández
New York Giants,"674,483","8,993",29.6,28.3,99,101,3,3,10,,Ott
New York Yankees,"789,995","10,128",29.2,29.1,103,102,1,3,10,"$188,400",McCarthy
Philadelphia Athletics,"505,322","6,649",29.0,31.5,97,100,2,2,6,"$111,550",Mack
Philadelphia Phillies,"369,586","4,678",28.2,29.6,96,99,1,1,6,,Fitzsimmons
Pittsburgh Pirates,"604,278","7,460",29.1,32.5,104,103,2,4,11,,Frisch
Philadelphia Stars,,,30.2,28.4,100,100,1,1,12,,Curry
St. Louis Browns,"508,644","6,606",29.8,30.6,107,106,0,3,9,"$137,850",Sewell
St. Louis Cardinals,"461,968","6,000",27.6,28.1,103,99,1,6,12,,Southworth
Washington Nationals,"525,235","6,821",30.4,31.3,95,95,2,4,8,"$91,200",Bluege
