Tm,W,L,W-L%,GB
New York Yankees,94,68,.580,--
Baltimore Orioles,91,71,.562,3.0
Boston Red Sox,81,81,.500,13.0
Tampa Bay Rays,80,82,.494,14.0
Toronto Blue Jays,74,88,.457,20.0
Cleveland Guardians,92,69,.571,--
Detroit Tigers,86,76,.531,6.5
Kansas City Royals,86,76,.531,6.5
Minnesota Twins,82,80,.506,10.5
Chicago White Sox,41,121,.253,51.5
Houston Astros,88,73,.547,--
Seattle Mariners,85,77,.525,3.5
Texas Rangers,78,84,.481,10.5
Oakland Athletics,69,93,.426,19.5
Los Angeles Angels,63,99,.389,25.5
Philadelphia Phillies,95,67,.586,--
Atlanta Braves,89,73,.549,6.0
New York Mets,89,73,.549,6.0
Washington Nationals,71,91,.438,24.0
Miami Marlins,62,100,.383,33.0
Milwaukee Brewers,93,69,.574,--
Chicago Cubs,83,79,.512,10.0
St. Louis Cardinals,83,79,.512,10.0
Cincinnati Reds,77,85,.475,16.0
Pittsburgh Pirates,76,86,.469,17.0
Los Angeles Dodgers,98,64,.605,--
San Diego Padres,93,69,.574,5.0
Arizona Diamondbacks,89,73,.549,9.0
San Francisco Giants,80,82,.494,18.0
Colorado Rockies,61,101,.377,37.0
