Tm,W,L,W-L%,GB
Baltimore Orioles,97,65,.599,--
Boston Red Sox,89,73,.549,8.0
Detroit Tigers,85,77,.525,12.0
New York Yankees,80,82,.494,17.0
Milwaukee Brewers,74,88,.457,23.0
Cleveland Indians,71,91,.438,26.0
Oakland Athletics,94,68,.580,--
Kansas City Royals,88,74,.543,6.0
Minnesota Twins,81,81,.500,13.0
California Angels,79,83,.488,15.0
Chicago White Sox,77,85,.475,17.0
Texas Rangers,57,105,.352,37.0
New York Mets,82,79,.509,--
St. Louis Cardinals,81,81,.500,1.5
Pittsburgh Pirates,80,82,.494,2.5
Montreal Expos,79,83,.488,3.5
Chicago Cubs,77,84,.478,5.0
Philadelphia Phillies,71,91,.438,11.5
Cincinnati Reds,99,63,.611,--
Los Angeles Dodgers,95,66,.590,3.5
San Francisco Giants,88,74,.543,11.0
Houston Astros,82,80,.506,17.0
Atlanta Braves,76,85,.472,22.5
San Diego Padres,60,102,.370,39.0
