Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Cleveland Buckeyes,57,19,0,.750,5.9,5.8,0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,New York Cubans,47,20,1,.701,5.5,3.7,1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,New York Yankees,97,57,1,.630,5.1,3.7,1.5,-0.2,1.3,100-54,-3,55-22,42-35,5-6,22-29,76-43,21-14,55-33,42-24
4,Brooklyn Dodgers,94,60,1,.610,5.0,4.3,0.7,-0.1,0.6,87-67,7,52-25,42-35,6-4,24-19,53-34,41-26,35-31,59-29
5,Kansas City Monarchs,62,36,0,.633,6.7,5.4,1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,St. Louis Cardinals,89,65,2,.578,5.0,4.1,0.9,-0.1,0.8,91-63,-2,46-31,43-34,9-6,19-19,42-29,47-36,33-33,56-32
7,Newark Eagles,51,40,1,.560,5.1,4.7,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,Detroit Tigers,85,69,4,.552,4.5,4.1,0.5,0.0,0.4,84-70,1,46-31,39-38,6-4,27-20,68-61,17-8,43-45,42-24
9,Boston Braves,86,68,0,.558,4.6,4.1,0.5,-0.1,0.4,85-69,1,50-27,36-41,5-5,23-20,48-49,38-19,34-32,52-36
10,Birmingham Black Barons,50,42,0,.543,5.1,5.7,-0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
11,Boston Red Sox,83,71,3,.539,4.6,4.3,0.3,0.0,0.3,82-72,1,49-30,34-41,7-2,28-20,73-59,10-12,40-48,43-23
12,Baltimore Elite Giants,41,40,2,.506,5.5,4.3,1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,New York Giants,81,73,1,.526,5.4,4.9,0.4,-0.1,0.4,83-71,-2,45-31,36-42,5-4,19-24,52-49,29-24,30-36,51-37
14,Cleveland Indians,80,74,3,.519,4.4,3.7,0.6,-0.1,0.6,88-66,-8,38-39,42-35,5-7,25-25,69-60,11-14,39-49,41-25
15,Homestead Grays,35,35,4,.500,4.2,4.4,-0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,Memphis Red Sox,44,55,2,.444,5.6,6.6,-1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Philadelphia Athletics,78,76,2,.506,4.1,3.9,0.1,0.0,0.1,79-75,-1,39-38,39-38,6-8,17-29,70-62,8-14,43-45,35-31
18,Cincinnati Reds,73,81,0,.474,4.4,4.9,-0.5,0.1,-0.4,70-84,3,42-35,31-46,5-8,21-20,47-57,26-24,37-51,36-30
19,Philadelphia Stars,28,36,2,.438,5.0,5.8,-0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Cincinnati-Indianapolis Clowns,36,68,2,.346,4.5,6.2,-1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Chicago White Sox,70,84,1,.455,3.6,4.3,-0.7,0.1,-0.6,65-89,5,32-43,38-41,9-9,29-21,61-78,9-6,45-65,25-19
22,Chicago Cubs,69,85,1,.448,3.7,4.7,-1.0,0.1,-0.9,60-94,9,36-43,33-42,4-6,25-17,38-44,31-41,33-55,36-30
23,Chicago American Giants,29,58,0,.333,5.1,6.8,-1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,New York Black Yankees,12,43,4,.218,4.7,6.9,-2.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Washington Nationals,64,90,0,.416,3.2,4.4,-1.2,0.1,-1.0,56-98,8,36-41,28-49,2-7,23-27,44-69,20-21,47-63,17-27
26,Philadelphia Phillies,62,92,1,.403,3.8,4.4,-0.6,0.1,-0.6,66-88,-4,38-38,24-54,6-6,19-29,49-68,13-24,34-54,28-38
27,Pittsburgh Pirates,62,92,2,.403,4.8,5.2,-0.5,0.1,-0.4,71-83,-9,32-45,30-47,5-6,21-23,56-85,6-7,30-58,32-34
28,St. Louis Browns,59,95,0,.383,3.7,4.8,-1.2,0.1,-1.0,58-96,1,29-48,30-47,8-5,25-25,47-78,12-17,35-75,24-20
,Average,61,61,1,.500,4.7,4.9,,,,60-62,,23-20,20-23,3-3,13-13,31-33,12-10,21-27,22-16
