Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Hilldale Club,53,18,1,.746,6.5,4.5,2.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Kansas City Monarchs,59,23,2,.720,5.6,3.6,2.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,Washington Nationals,96,55,1,.636,5.5,4.4,1.0,-0.1,0.9,90-61,6,53-22,43-33,8-4,27-11,67-40,29-15,49-37,47-18
4,Pittsburgh Pirates,95,58,0,.621,6.0,4.7,1.3,-0.2,1.1,93-60,2,52-25,43-33,6-6,27-20,76-49,19-9,39-26,56-32
5,Harrisburg Giants,48,24,1,.667,6.8,5.2,1.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,St. Louis Stars,59,30,2,.663,7.1,5.2,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,Philadelphia Athletics,88,64,1,.579,5.4,4.7,0.8,-0.1,0.7,87-65,1,51-26,37-38,8-5,22-23,68-46,20-18,47-39,41-25
8,New York Giants,86,66,0,.566,4.8,4.6,0.2,0.0,0.2,79-73,7,47-29,39-37,6-5,28-16,60-47,26-19,35-30,51-36
9,Chicago American Giants,57,41,2,.582,4.4,4.0,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,St. Louis Browns,82,71,1,.536,5.8,5.9,0.0,0.0,0.0,76-77,6,45-32,37-39,8-5,26-16,48-45,34-26,44-44,38-27
11,Cincinnati Reds,80,73,0,.523,4.5,4.2,0.3,0.0,0.3,81-72,-1,44-32,36-41,9-7,19-26,64-57,16-16,29-36,51-37
12,Baltimore Black Sox,33,31,2,.516,5.1,5.0,0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Detroit Stars,56,44,0,.560,6.6,5.9,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,Detroit Tigers,81,73,2,.526,5.8,5.3,0.5,-0.1,0.4,83-71,-2,43-34,38-39,5-10,20-19,54-52,27-21,39-49,42-24
15,St. Louis Cardinals,77,76,0,.503,5.4,5.0,0.4,-0.1,0.4,82-71,-5,48-28,29-48,5-5,15-19,57-58,20-18,27-38,50-38
16,Atlantic City Bacharach Giants,36,38,2,.486,4.8,5.0,-0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Chicago White Sox,79,75,0,.513,5.3,5.0,0.3,0.0,0.2,81-73,-2,44-33,35-42,6-9,18-20,52-47,27-28,39-49,40-26
18,Boston Braves,70,83,0,.458,4.6,5.2,-0.6,0.1,-0.5,68-85,2,37-39,33-44,7-9,20-24,44-57,26-26,39-49,31-34
19,Brooklyn Royal Giants,14,20,1,.412,5.2,4.9,0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Cuban Stars West,20,30,0,.400,5.7,6.7,-1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Cleveland Indians,70,84,1,.455,5.0,5.3,-0.2,0.0,-0.2,74-80,-4,37-39,33-45,8-7,24-28,49-56,21-28,45-65,25-19
22,Brooklyn Robins,68,85,0,.444,5.1,5.7,-0.5,0.1,-0.5,70-83,-2,40-37,28-48,5-5,20-20,39-44,29-41,38-50,30-35
23,Philadelphia Phillies,68,85,0,.444,5.3,6.1,-0.8,0.1,-0.7,67-86,1,38-39,30-46,5-8,16-19,55-58,13-27,29-58,39-27
24,Memphis Red Sox,34,49,1,.410,4.4,5.4,-1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Cuban Stars East,18,26,1,.409,5.0,5.5,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
26,New York Yankees,69,85,2,.448,4.5,5.0,-0.4,0.1,-0.4,71-83,-2,42-36,27-49,9-8,21-32,36-53,33-32,44-66,25-19
27,Wilmington Potomacs,10,21,2,.323,5.3,6.3,-1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
28,Birmingham Black Barons,27,59,1,.314,4.9,6.7,-1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
29,Chicago Cubs,68,86,0,.442,4.7,5.0,-0.3,0.0,-0.3,72-82,-4,37-40,31-46,7-5,18-19,45-67,23-19,37-51,31-35
30,Boston Red Sox,47,105,0,.309,4.2,6.1,-1.9,0.2,-1.6,51-101,-4,28-47,19-58,4-8,15-24,27-72,20-33,31-77,16-28
31,Indianapolis ABCs,17,53,0,.243,4.6,7.8,-3.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
32,New York Lincoln Giants,7,41,2,.146,4.6,8.8,-4.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,55,55,0,.500,5.3,5.4,,,,55-55,,21-16,16-21,3-3,10-10,26-26,11-11,19-23,19-14
