Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Homestead Grays,53,14,1,.791,7.8,3.9,3.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,St. Louis Cardinals,105,49,3,.682,4.3,3.0,1.3,-0.2,1.1,101-53,4,58-21,47-28,10-14,35-27,79-35,26-14,42-24,63-25
3,New York Yankees,98,56,1,.636,4.3,3.5,0.8,-0.1,0.7,92-62,6,54-23,44-33,14-11,38-23,76-40,22-16,48-40,50-16
4,Kansas City Monarchs,44,27,1,.620,4.1,3.8,0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
5,Cleveland Buckeyes,39,25,1,.609,3.8,4.6,-0.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,New York Cubans,19,14,1,.576,6.2,4.1,2.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,Cincinnati Reds,87,67,1,.565,3.9,3.5,0.4,-0.1,0.4,85-69,2,48-29,39-38,12-8,28-25,76-65,11-2,28-38,59-29
8,Washington Nationals,84,69,0,.549,4.4,3.9,0.5,-0.1,0.4,84-69,0,44-32,40-37,12-7,23-25,69-53,15-16,41-46,43-23
9,Birmingham Black Barons,45,35,-8,.562,4.4,4.0,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,Cleveland Indians,82,71,0,.536,3.9,3.8,0.2,0.0,0.1,79-74,3,44-33,38-38,13-14,29-28,66-56,16-15,47-40,35-31
11,Brooklyn Dodgers,81,72,0,.529,4.7,4.4,0.3,0.0,0.2,81-72,0,46-31,35-41,10-9,23-25,52-49,29-23,31-35,50-37
12,Harrisburg Stars,8,8,0,.500,4.9,4.6,0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Chicago White Sox,82,72,1,.532,3.7,3.8,-0.1,0.0,-0.1,74-80,8,40-36,42-36,9-7,31-16,64-58,18-14,40-48,42-24
14,Chicago American Giants,37,33,1,.529,4.6,4.1,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
15,Pittsburgh Pirates,80,74,3,.519,4.3,3.9,0.4,0.0,0.4,84-70,-4,47-30,33-44,7-7,27-25,55-54,25-20,31-35,49-39
16,Newark Eagles,26,32,0,.448,5.5,5.9,-0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Detroit Tigers,78,76,1,.506,4.1,3.6,0.5,-0.1,0.4,85-69,-7,45-32,33-44,9-9,26-28,65-69,13-7,43-45,35-31
18,Chicago Cubs,74,79,1,.484,4.1,3.9,0.2,0.0,0.2,80-73,-6,36-38,38-41,9-9,24-31,59-59,15-20,38-50,36-29
19,Baltimore Elite Giants,18,26,3,.409,4.4,6.4,-1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Memphis Red Sox,34,51,4,.400,4.3,5.4,-1.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,St. Louis Browns,72,80,1,.474,3.9,3.9,-0.1,0.0,0.0,75-77,-3,44-33,28-47,10-18,22-32,53-67,19-13,49-61,23-19
22,Boston Braves,68,85,0,.444,3.0,4.0,-1.0,0.1,-0.8,58-95,10,38-39,30-46,14-13,34-25,47-60,21-25,38-49,30-36
23,Philadelphia Stars,21,31,1,.404,6.5,6.5,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Cincinnati Clowns,31,59,5,.344,3.8,4.9,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Boston Red Sox,68,84,3,.447,3.6,3.9,-0.3,0.0,-0.2,71-81,-3,39-36,29-48,15-14,29-30,58-75,10-9,46-64,22-20
26,Philadelphia Phillies,64,90,3,.416,3.6,4.3,-0.7,0.1,-0.6,65-89,-1,33-43,31-47,6-7,25-29,55-78,9-12,27-61,37-29
27,New York Black Yankees,4,24,2,.143,4.2,9.0,-4.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
28,New York Giants,55,98,3,.359,3.6,4.6,-1.0,0.1,-0.9,60-93,-5,34-43,21-55,8-9,23-32,45-82,10-16,27-61,28-37
29,Philadelphia Athletics,49,105,1,.318,3.2,4.6,-1.4,0.2,-1.2,52-102,-3,27-51,22-54,6-8,19-35,36-82,13-23,30-80,19-25
,Average,55,55,1,.500,4.4,4.5,,,,55-55,,23-18,18-23,5-5,15-15,32-33,9-8,20-26,21-15
