Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,New York Yankees,98,54,0,.645,5.4,4.1,1.3,-0.2,1.2,95-57,3,46-30,52-24,9-4,26-15,65-44,33-10,22-22,76-32
2,Hilldale Club,37,21,1,.638,6.1,4.3,1.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
3,Kansas City Monarchs,54,32,0,.628,6.5,4.6,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
4,New York Giants,95,58,0,.621,5.6,4.4,1.1,-0.1,1.0,92-61,3,47-30,48-28,8-5,28-17,69-41,26-17,49-38,46-20
5,Chicago American Giants,39,24,0,.619,5.6,4.7,1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Cincinnati Reds,91,63,0,.591,4.6,4.1,0.5,-0.1,0.5,85-69,6,46-32,45-31,12-4,31-19,72-56,19-7,43-45,48-18
7,Cuban Stars East,22,16,0,.579,5.3,4.8,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,Detroit Tigers,83,71,1,.539,5.4,4.8,0.6,-0.1,0.5,85-69,-2,45-32,38-39,4-6,22-28,61-55,22-16,23-21,60-50
9,Detroit Stars,39,27,0,.591,6.1,5.9,0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
10,Indianapolis ABCs,44,32,0,.579,5.8,5.2,0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
11,Pittsburgh Pirates,87,67,0,.565,5.1,4.5,0.6,-0.1,0.5,86-68,1,47-30,40-37,4-8,18-26,57-55,30-12,46-42,41-25
12,Cleveland Indians,82,71,0,.536,5.8,4.9,0.9,-0.1,0.8,89-64,-7,42-36,40-35,10-5,21-25,65-53,17-18,21-23,61-48
13,Brooklyn Royal Giants,16,16,1,.500,5.4,5.4,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,Chicago Cubs,83,71,0,.539,4.9,4.6,0.3,0.0,0.3,82-72,1,46-31,37-40,8-4,26-24,62-44,21-27,42-46,41-25
15,Washington Nationals,75,78,2,.490,4.6,4.8,-0.2,0.0,-0.2,74-79,1,43-34,32-44,6-9,24-22,65-58,10-20,28-37,47-41
16,Atlantic City Bacharach Giants,23,25,1,.479,5.1,5.0,0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,St. Louis Cardinals,79,74,1,.516,4.8,4.8,0.1,0.0,0.1,78-75,1,42-35,37-39,10-8,29-21,60-50,19-24,39-48,40-26
18,St. Louis Browns,74,78,2,.487,4.5,4.7,-0.2,0.0,-0.2,73-79,1,40-36,34-42,4-5,18-21,62-54,12-24,23-41,51-37
19,New York Lincoln Giants,17,23,0,.425,5.6,4.9,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Brooklyn Robins,76,78,1,.494,4.9,4.8,0.1,0.0,0.1,78-76,-2,37-40,39-38,4-10,18-21,52-58,24-20,50-60,26-18
21,Philadelphia Athletics,69,83,1,.454,4.3,5.0,-0.7,0.1,-0.6,66-86,3,34-41,35-42,7-4,18-15,53-64,16-19,26-40,43-43
22,Baltimore Black Sox,19,33,1,.365,5.0,7.1,-2.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
23,Chicago White Sox,69,85,2,.448,4.4,4.8,-0.3,0.0,-0.3,72-82,-3,30-45,39-40,4-9,21-30,56-64,13-21,25-41,44-44
24,Boston Braves,54,100,1,.351,4.1,5.1,-1.0,0.1,-0.9,61-93,-7,22-55,32-45,8-8,17-24,35-76,19-24,33-77,21-23
25,Boston Red Sox,61,91,2,.401,3.8,5.3,-1.5,0.2,-1.3,54-98,7,37-40,24-51,5-7,24-18,52-80,9-11,28-38,33-53
26,Toledo Tigers,10,17,0,.370,5.6,7.2,-1.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
27,Philadelphia Phillies,50,104,1,.325,4.8,6.5,-1.7,0.2,-1.5,56-98,-6,20-55,30-49,3-10,14-29,41-71,9-33,31-79,19-25
28,Cuban Stars West,24,33,0,.421,5.5,5.3,0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
29,St. Louis Stars,29,43,0,.403,5.9,7.1,-1.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
30,Milwaukee Bears,11,42,0,.208,4.1,6.6,-2.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,53,53,0,.500,5.2,5.2,,,,54-53,,20-20,20-20,3-3,11-11,30-30,9-10,17-23,23-17
