team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Anaheim Angels,AL,"1,774,702",81,"21,910","2,179,033","13,117","35,295","289,817","241,847","241,101","322,486","417,162","262,289",Angel Stadium of Anaheim
Atlanta Braves,NL,"3,447,608",81,"42,563","2,345,220","28,357","49,758","521,594","577,294","452,283","682,715","620,395","593,327",Turner Field
Baltimore Orioles,AL,"3,692,388",80,"46,155","2,289,656","36,288","48,263","512,387","639,688","476,927","714,733","706,118","642,535",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,223,602",80,"27,795","2,174,255","15,358","34,210","260,756","332,296","468,215","492,140","385,827","284,368",Fenway Park
Chicago Cubs,NL,"2,189,948",79,"27,721","2,377,774","13,890","40,751","269,719","309,971","380,322","422,355","457,362","350,219",Wrigley Field
Chicago White Sox,AL,"1,865,052",78,"23,911","2,238,137","14,034","44,249","237,487","315,374","371,684","325,874","328,714","285,919",Guaranteed Rate Field
Cincinnati Reds,NL,"1,790,058",80,"22,376","2,195,691","15,099","54,820","259,832","284,863","365,879","301,850","277,655","299,979",Cinergy Field
Cleveland Indians,AL,"3,394,750",80,"42,434","2,221,958","32,992","43,167","453,142","506,292","600,082","730,131","589,275","515,828",Progressive Field
Colorado Rockies,NL,"3,893,433",81,"48,067","2,234,788","42,321","50,095","536,517","626,933","718,207","672,981","771,649","567,146",Coors Field
Detroit Tigers,AL,"1,395,413",79,"17,663","2,192,585","10,019","43,039","139,790","188,373","271,075","258,521","276,703","260,951",Tiger Stadium
Florida Marlins,NL,"2,352,567",80,"29,407","2,177,179","15,342","44,176","409,938","353,765","339,623","356,537","460,183","432,521",Sun Life Stadium
Houston Astros,NL,"2,046,275",81,"25,263","2,117,241","11,268","44,618","295,166","229,752","309,174","401,680","401,456","409,047",Astrodome
Kansas City Royals,AL,"1,526,638",77,"19,826","2,101,280","11,806","40,052","167,107","320,740","282,115","223,135","368,308","165,233",Kauffman Stadium
Los Angeles Dodgers,NL,"3,319,320",81,"40,979","2,638,627","25,585","54,213","491,589","553,075","672,075","595,711","523,042","483,828",Dodger Stadium
Milwaukee Brewers,AL,"1,450,029",78,"18,590","2,160,957","10,044","43,215","153,406","180,700","263,517","308,633","366,462","177,311",County Stadium
Minnesota Twins,AL,"1,413,064",81,"17,445","2,098,760","10,015","43,216","220,827","336,833","208,946","218,791","257,846","169,821",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"1,507,166",81,"18,607","2,343,516","10,139","42,888","234,362","301,500","314,852","232,723","218,194","205,535",Stade Olympique
New York Mets,NL,"1,775,201",78,"22,759","2,373,883","12,001","54,047","202,877","210,437","376,394","263,639","423,180","298,674",Shea Stadium
New York Yankees,AL,"2,581,043",78,"33,090","2,645,976","13,939","56,710","318,871","348,732","469,473","591,366","439,889","412,712",Yankee Stadium I
Oakland Athletics,AL,"1,260,565",79,"15,957","2,364,918","10,134","50,792","222,272","163,408","227,761","187,026","215,489","244,609",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,490,542",77,"19,358","2,167,475","11,883","50,869","167,508","226,999","245,446","239,283","273,827","337,479",Veterans Stadium
Pittsburgh Pirates,NL,"1,694,633",80,"21,183","2,133,433","10,073","48,032","140,697","272,730","332,730","249,077","378,276","321,123",Three Rivers Stadium
San Diego Padres,NL,"2,089,333",80,"26,117","2,210,030","10,893","60,230","362,429","409,879","281,120","461,224","311,402","263,279","Qualcomm Stadium, Aloha Stadium"
San Francisco Giants,NL,"1,696,583",80,"21,207","2,425,527","10,118","56,625","195,401","251,096","357,711","328,179","235,028","329,168",Candlestick Park
Seattle Mariners,AL,"3,197,054",81,"39,470","2,387,889","21,764","57,586","490,554","484,926","593,882","409,333","678,048","540,311",Kingdome
St. Louis Cardinals,NL,"2,654,568",81,"32,772","2,186,468","16,965","47,542","318,893","417,217","497,060","551,234","423,764","446,400",Busch Stadium II
Texas Rangers,AL,"2,923,590",80,"36,545","2,134,572","21,562","46,934","399,951","562,601","576,879","531,786","448,337","404,036",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,589,317",81,"31,967","2,117,614","25,582","50,436","356,055","462,977","520,185","427,973","459,085","363,042",Rogers Centre
