team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"1,724,891",79,"21,834","1,635,415","10,005","47,547","210,044","253,968","368,585","312,510","390,244","189,540",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"2,037,206",76,"26,805","1,759,937","11,214","51,764","261,631","312,317","395,409","438,182","319,602","310,065",Memorial Stadium
Boston Red Sox,AL,"1,660,551",77,"21,566","1,745,203","10,926","35,179","168,453","189,682","400,543","243,617","391,590","266,666",Fenway Park
Chicago Cubs,NL,"2,108,055",75,"28,107","2,005,191","11,266","40,723","107,112","300,706","390,354","410,631","519,205","380,047",Wrigley Field
Chicago White Sox,AL,"2,135,827",81,"26,368","1,803,398","13,948","43,094","253,601","286,938","458,657","450,372","370,614","315,645",Comiskey Park I
Cincinnati Reds,NL,"1,270,073",78,"16,283","1,687,202","10,138","46,000","189,664","150,702","252,485","159,233","346,649","171,340",Cinergy Field
Cleveland Indians,AL,"731,378",73,"10,019","1,530,147","10,008","57,114","110,128","74,492","139,559","171,127","149,224","86,848",Cleveland Stadium
Detroit Tigers,AL,"2,704,794",76,"35,589","2,161,177","10,603","51,238","280,887","319,628","646,262","482,656","514,565","460,796",Tiger Stadium
Houston Astros,NL,"1,230,579",81,"15,192","1,525,405","10,187","39,518","233,903","184,453","211,206","218,767","241,549","140,701",Astrodome
Kansas City Royals,AL,"1,810,018",77,"23,507","1,582,213","10,006","40,501","185,103","252,147","365,818","292,890","421,717","292,343",Kauffman Stadium
Los Angeles Dodgers,NL,"3,134,824",81,"38,702","1,934,559","20,540","50,916","699,435","409,957","762,857","555,499","325,598","381,478",Dodger Stadium
Milwaukee Brewers,AL,"1,608,509",76,"21,165","1,829,557","10,095","53,038","130,073","245,941","474,854","323,311","283,644","150,686",County Stadium
Minnesota Twins,AL,"1,598,373",81,"19,733","1,548,627","10,043","51,863","150,072","310,149","164,013","438,754","267,045","268,340",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"1,623,419",76,"21,361","1,698,569","10,184","48,060","143,284","218,910","300,917","364,313","363,978","232,017",Stade Olympique
New York Mets,NL,"1,829,481",75,"24,393","1,769,850","10,705","51,102","129,513","257,551","326,837","457,211","322,355","336,014",Shea Stadium
New York Yankees,AL,"1,823,496",78,"23,378","1,941,055","11,361","52,430","270,767","228,400","337,101","299,975","396,279","290,974",Yankee Stadium I
Oakland Athletics,AL,"1,353,281",79,"17,130","1,565,513","10,265","46,238","279,536","241,006","205,502","240,769","210,949","175,519",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,062,966",77,"26,792","1,854,800","13,443","63,816","183,897","377,316","425,756","459,695","317,958","298,344",Veterans Stadium
Pittsburgh Pirates,NL,"773,195",76,"10,174","1,766,968","10,048","34,114","80,734","129,134","161,512","195,022","137,241","69,552",Three Rivers Stadium
San Diego Padres,NL,"1,984,953",80,"24,812","1,731,889","11,025","52,134","475,634","200,111","360,254","402,256","243,028","303,670",Qualcomm Stadium
San Francisco Giants,NL,"1,001,551",77,"13,007","1,602,449","10,087","52,700","234,334","163,879","181,419","170,399","138,747","112,773",Candlestick Park
Seattle Mariners,AL,"869,874",81,"10,739","1,491,715","10,067","43,200","128,732","205,636","121,656","160,915","140,496","112,439",Kingdome
St. Louis Cardinals,NL,"2,059,347",79,"26,068","1,591,037","11,829","48,869","184,859","385,858","422,311","371,498","407,853","286,968",Busch Stadium II
Texas Rangers,AL,"1,102,430",80,"13,780","1,561,699","10,008","39,240","150,589","189,207","188,288","272,140","187,028","115,178",Arlington Stadium
Toronto Blue Jays,AL,"2,110,009",79,"26,709","1,705,196","12,398","44,164","218,931","345,274","460,453","355,453","315,139","414,759",Exhibition Stadium
California Angels,AL,"2,402,997",81,"29,667","1,723,306","20,673","51,203","343,179","450,158","358,869","373,563","444,587","432,641",Angel Stadium of Anaheim
