team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"1,350,047",79,"17,089","1,658,044","10,116","45,389","202,701","316,773","262,399","245,736","228,895","93,543",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"2,137,434",80,"26,718","1,657,477","10,749","50,402","285,651","246,643","465,627","520,367","230,356","388,790",Memorial Stadium
Boston Red Sox,AL,"1,786,463",77,"23,201","1,823,488","12,754","35,664","224,510","205,885","447,790","343,378","299,996","264,904",Fenway Park
Chicago Cubs,NL,"2,161,534",81,"26,686","2,255,196","10,049","38,766","171,344","348,440","396,734","451,097","453,125","340,794",Wrigley Field
Chicago White Sox,AL,"1,669,970",79,"21,139","1,857,894","10,293","40,087","186,627","287,794","293,950","372,432","331,271","197,896",Comiskey Park I
Cincinnati Reds,NL,"1,834,619",77,"23,826","1,820,232","10,079","52,971","162,600","270,807","268,073","328,556","409,465","395,118",Cinergy Field
Cleveland Indians,AL,"655,181",75,"8,736","1,567,917","10,231","61,978","108,156","108,351","83,788","160,468","139,242","55,176",Cleveland Stadium
Detroit Tigers,AL,"2,286,610",79,"28,944","1,985,093","14,123","51,180","239,857","250,811","597,394","474,780","307,161","416,607",Tiger Stadium
Houston Astros,NL,"1,184,383",80,"14,805","1,647,044","10,043","42,876","206,202","179,150","257,886","188,615","197,742","154,788",Astrodome
Kansas City Royals,AL,"2,162,715",80,"27,034","1,728,560","14,740","41,251","213,629","322,913","316,809","400,385","423,158","485,821",Kauffman Stadium
Los Angeles Dodgers,NL,"3,264,683",81,"40,305","1,940,748","23,296","51,868","422,706","399,052","598,171","667,824","464,970","711,960",Dodger Stadium
Milwaukee Brewers,AL,"1,359,995",80,"17,000","1,569,532","10,562","53,027","169,681","236,010","296,999","307,848","213,583","135,874",County Stadium
Minnesota Twins,AL,"1,652,063",81,"20,396","1,602,568","10,200","51,190","187,022","343,488","266,945","387,196","277,859","189,553",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"1,502,494",78,"19,263","1,849,457","10,122","42,218","132,164","283,409","345,583","309,836","266,203","165,299",Stade Olympique
New York Mets,NL,"2,751,237",78,"35,272","2,002,430","17,973","52,616","278,046","473,046","419,010","552,289","546,841","482,005",Shea Stadium
New York Yankees,AL,"2,214,587",77,"28,761","2,366,526","11,879","55,623","214,620","227,635","490,947","286,837","419,154","575,394",Yankee Stadium I
Oakland Athletics,AL,"1,334,627",77,"17,333","1,666,396","10,348","46,770","163,407","329,986","177,756","272,457","254,809","136,212",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,830,350",78,"23,466","1,703,401","12,410","56,092","261,492","374,225","301,297","364,056","310,932","218,348",Veterans Stadium
Pittsburgh Pirates,NL,"735,900",78,"9,435","1,693,965","10,050","47,335","120,335","119,083","175,290","122,955","123,902","74,335",Three Rivers Stadium
San Diego Padres,NL,"2,210,352",79,"27,979","1,995,876","11,141","54,490","322,918","364,506","526,825","395,281","280,560","320,262",Qualcomm Stadium
San Francisco Giants,NL,"818,697",79,"10,363","1,855,080","1,213","52,714","188,383","114,899","157,138","123,418","138,267","96,592",Candlestick Park
Seattle Mariners,AL,"1,127,603",81,"13,921","1,471,244","10,271","37,161","196,986","222,066","175,754","216,752","218,071","97,974",Kingdome
St. Louis Cardinals,NL,"2,661,465",80,"33,268","1,884,288","13,028","49,231","254,466","286,731","516,446","391,405","502,718","709,699",Busch Stadium II
Texas Rangers,AL,"1,112,461",79,"14,082","1,599,483","10,087","42,445","151,621","199,428","221,599","271,423","107,446","160,944",Arlington Stadium
Toronto Blue Jays,AL,"2,468,925",78,"31,653","1,842,189","15,380","47,686","218,660","269,140","518,648","472,174","327,361","662,942",Exhibition Stadium
California Angels,AL,"2,567,787",79,"32,504","1,798,054","19,687","62,951","329,653","500,398","391,163","380,018","568,030","398,525",Angel Stadium of Anaheim
