team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"2,116,740",77,"27,490","1,858,411","10,356","48,566","169,737","306,830","425,683","461,947","345,937","406,606",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"2,036,397",77,"26,447","1,853,401","10,016","51,889","139,412","215,878","444,287","369,763","436,751","430,306",Memorial Stadium
Boston Red Sox,AL,"1,780,794",77,"23,127","1,788,543","13,189","34,178","135,526","287,020","368,088","352,595","276,687","360,878",Fenway Park
Chicago Cubs,NL,"1,483,702",79,"18,781","1,750,317","10,015","40,522","98,704","147,678","286,991","389,636","366,790","193,903",Wrigley Field
Chicago White Sox,AL,"2,132,813",79,"26,998","1,596,382","11,916","46,219","131,088","249,842","372,651","389,151","497,507","492,574",Comiskey Park I
Cincinnati Reds,NL,"1,192,882",79,"15,100","1,702,443","10,018","53,790","152,623","196,110","254,954","189,783","224,077","175,335",Cinergy Field
Cleveland Indians,AL,"768,937",72,"10,680","1,545,976","10,086","52,150","105,754","101,230","157,464","177,972","146,389","80,128",Cleveland Stadium
Detroit Tigers,AL,"1,786,900",76,"23,512","1,696,410","10,772","51,350","106,193","230,763","217,722","461,250","498,730","272,242",Tiger Stadium
Houston Astros,NL,"1,352,942",81,"16,703","1,644,031","10,004","39,269","197,783","199,747","160,389","428,061","199,811","167,151",Astrodome
Kansas City Royals,AL,"1,963,886",79,"24,859","1,590,764","13,275","42,039","174,287","412,613","328,218","290,881","519,933","237,954",Kauffman Stadium
Los Angeles Dodgers,NL,"3,509,313",80,"43,866","2,240,272","30,882","52,392","372,069","595,328","822,471","451,669","686,219","581,557",Dodger Stadium
Milwaukee Brewers,AL,"2,266,725",77,"29,438","1,854,068","10,195","54,049","112,110","272,381","574,077","393,898","587,919","326,340",County Stadium
Minnesota Twins,AL,"868,272",80,"10,853","1,501,565","10,339","34,003","139,747","116,399","119,512","245,992","158,208","88,414",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"2,320,556",76,"30,534","1,636,135","10,193","50,834","120,983","278,468","408,692","487,957","415,141","609,315",Stade Olympique
New York Mets,NL,"1,099,876",74,"14,863","1,635,871","11,218","49,596","90,128","204,711","239,028","210,674","214,324","141,011",Shea Stadium
New York Yankees,AL,"2,249,688",78,"28,842","2,280,886","11,148","55,605","235,746","226,570","392,818","441,608","575,499","377,447",Yankee Stadium I
Oakland Athletics,AL,"1,294,941",77,"16,817","1,557,202","10,135","45,413","208,520","246,974","151,719","262,476","259,098","166,154",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,128,345",75,"28,378","1,872,736","10,257","52,710","176,558","302,581","288,350","515,981","452,569","392,306",Veterans Stadium
Pittsburgh Pirates,NL,"1,227,449",74,"16,587","1,812,602","1,970","46,869","119,770","81,374","130,890","284,028","401,401","209,986",Three Rivers Stadium
San Diego Padres,NL,"1,544,736",78,"19,804","1,695,954","10,444","47,208","121,355","409,810","317,593","361,561","178,552","155,865",Qualcomm Stadium
San Francisco Giants,NL,"1,256,098",77,"16,313","1,813,579","10,004","53,178","198,848","130,381","294,637","306,380","188,022","137,830",Candlestick Park
Seattle Mariners,AL,"808,037",81,"9,976","1,492,339","1,891","37,807","174,424","127,794","123,713","114,041","136,422","131,643",Kingdome
St. Louis Cardinals,NL,"2,343,669",79,"29,667","1,913,957","11,741","49,898","315,248","379,368","470,201","279,029","496,799","403,024",Busch Stadium II
Texas Rangers,AL,"1,362,314",78,"17,466","1,475,928","10,011","43,705","200,811","137,910","351,035","289,710","253,675","129,173",Arlington Stadium
Toronto Blue Jays,AL,"1,930,277",77,"25,069","1,689,278","10,125","45,102","125,644","334,903","235,440","425,705","379,678","428,907",Exhibition Stadium
California Angels,AL,"2,555,376",78,"32,761","1,882,615","19,713","63,132","469,145","363,613","334,597","631,126","375,409","381,486",Angel Stadium of Anaheim
