team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"2,057,224",81,"25,398","2,578,955","15,509","49,192","302,637","254,014","369,009","397,536","348,032","385,996",Chase Field
Atlanta Braves,NL,"2,510,121",81,"30,989","2,527,464","15,593","54,296","295,295","369,203","426,588","340,730","572,037","506,268",Turner Field
Baltimore Orioles,AL,"1,733,019",80,"21,663","2,264,228","10,248","48,891","220,537","278,321","432,568","203,912","252,375","345,306",Oriole Park at Camden Yards
Boston Red Sox,AL,"3,046,445",81,"37,610","2,615,139","37,022","38,304","487,571","601,840","525,948","340,151","527,465","563,470",Fenway Park
Chicago Cubs,NL,"3,062,973",81,"37,814","2,614,037","29,538","41,406","422,765","613,200","461,962","554,305","546,579","464,162",Wrigley Field
Chicago White Sox,AL,"2,194,378",81,"27,091","2,104,900","16,982","39,682","285,059","273,151","413,422","379,588","426,691","416,467",Guaranteed Rate Field
Cincinnati Reds,NL,"2,060,550",81,"25,439","2,412,550","12,060","42,493","253,974","404,105","393,042","290,733","386,544","332,152",Great American Ballpark
Cleveland Indians,AL,"1,391,644",80,"17,396","2,365,631","10,071","42,061","110,324","232,114","215,643","316,895","287,349","229,319",Progressive Field
Colorado Rockies,NL,"2,875,245",80,"35,941","2,551,397","20,308","49,509","338,426","397,064","462,364","594,235","473,583","609,573",Coors Field
Detroit Tigers,AL,"2,461,237",81,"30,386","2,343,192","17,058","45,010","260,385","450,224","367,087","517,733","499,634","366,174",Comerica Park
Florida Marlins,NL,"1,524,894",81,"18,826","2,455,474","10,115","40,666","192,537","293,629","247,075","217,459","200,805","373,389","Sun Life Stadium, Estadio Hiram Bithorn"
Houston Astros,NL,"2,331,490",81,"28,784","2,581,134","20,370","43,836","402,046","337,246","360,831","409,708","381,347","440,312",Minute Maid Park
Kansas City Royals,AL,"1,615,326",80,"20,192","2,214,419","10,295","40,052","237,792","239,783","331,889","245,117","235,347","325,398",Kauffman Stadium
Los Angeles Dodgers,NL,"3,562,318",81,"43,979","2,704,239","33,040","56,000","371,764","678,938","698,041","627,083","670,774","515,718",Dodger Stadium
Milwaukee Brewers,NL,"2,776,531",81,"34,278","2,451,791","22,761","45,808","431,472","406,058","516,641","453,830","549,518","419,012",American Family Field
Minnesota Twins,AL,"3,223,640",81,"39,798","2,215,365","38,145","40,966","347,129","702,401","480,828","527,000","446,851","719,431",Target Field
New York Mets,NL,"2,573,077",79,"32,571","2,374,836","24,384","41,422","468,693","427,328","404,467","386,959","412,665","472,965",Citi Field
New York Yankees,AL,"3,765,807",81,"46,491","2,829,418","41,571","49,716","312,399","723,680","653,700","613,616","759,002","703,410",Yankee Stadium II
Oakland Athletics,AL,"1,418,391",81,"17,511","2,407,200","10,047","35,067","246,976","248,822","206,235","257,509","203,279","255,570",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"3,647,249",81,"45,028","2,661,204","43,841","45,518","315,637","722,001","539,267","629,045","720,166","721,133",Citizens Bank Park
Pittsburgh Pirates,NL,"1,613,399",81,"19,919","2,478,638","10,972","39,024","168,463","245,878","250,086","331,190","329,062","288,720",PNC Park
San Diego Padres,NL,"2,131,774",81,"26,318","2,532,711","14,906","42,843","258,635","417,746","302,695","404,641","270,250","477,807",Petco Park
San Francisco Giants,NL,"3,037,267",81,"37,497","2,594,852","26,011","42,985","463,271","536,584","522,330","399,617","609,547","505,918",Oracle Park
Seattle Mariners,AL,"2,085,168",81,"25,743","2,252,528","14,528","45,876","264,877","390,880","357,539","430,175","344,048","297,649",T-Mobile Park
St. Louis Cardinals,NL,"3,301,218",81,"40,756","2,486,286","35,257","46,918","427,937","520,449","564,331","585,875","523,911","678,715",Busch Stadium III
Tampa Bay Rays,AL,"1,865,002",81,"23,025","2,202,241","10,691","36,973","291,403","327,302","237,882","311,295","382,125","314,995",Tropicana Field
Texas Rangers,AL,"2,505,171",81,"30,928","2,151,797","14,589","50,299","339,462","380,721","360,253","544,368","437,363","443,004",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"1,625,555",81,"20,069","2,249,614","10,314","46,321","229,852","187,799","361,970","228,441","364,410","253,083","Rogers Centre, Citizens Bank Park"
Washington Nationals,NL,"1,828,065",81,"22,569","2,402,851","10,999","41,290","257,105","241,137","340,078","404,501","312,120","273,124",Nationals Park
Los Angeles Angels,AL,"3,250,754",81,"40,133","2,450,841","34,190","44,052","671,351","470,781","434,976","536,234","526,547","610,865",Angel Stadium of Anaheim
