team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"2,080,145",81,"25,681","2,612,384","15,857","49,043","375,768","256,972","358,877","374,048","323,687","390,793",Chase Field
Atlanta Braves,NL,"2,001,392",80,"25,017","2,405,662","12,595","49,243","217,881","291,774","362,233","326,212","427,044","376,248",Turner Field
Baltimore Orioles,AL,"2,320,588",78,"29,751","2,325,892","12,789","46,289","299,598","488,340","398,378","343,262","423,808","367,202","Oriole Park at Camden Yards, Tropicana Field"
Boston Red Sox,AL,"2,880,694",81,"35,564","2,613,343","31,704","38,063","355,419","427,420","532,874","594,193","457,776","513,012",Fenway Park
Chicago Cubs,NL,"2,959,812",81,"36,541","2,753,766","26,390","41,688","329,906","513,077","334,952","622,138","583,058","576,681",Wrigley Field
Chicago White Sox,AL,"1,755,810",80,"21,948","2,322,442","11,667","39,579","183,308","259,624","258,194","361,788","445,270","247,626",Guaranteed Rate Field
Cincinnati Reds,NL,"2,419,506",81,"29,870","2,566,010","15,616","43,633","342,149","367,166","390,635","466,459","424,265","428,832",Great American Ballpark
Cleveland Indians,AL,"1,388,905",78,"17,806","2,361,162","10,007","35,789","140,637","254,823","263,679","265,797","241,057","222,912",Progressive Field
Colorado Rockies,NL,"2,506,789",80,"31,335","2,507,923","20,411","49,303","301,972","307,513","564,667","444,544","404,086","484,007",Coors Field
Detroit Tigers,AL,"2,726,048",81,"33,655","2,347,842","25,932","45,030","407,487","423,664","493,004","439,439","476,211","486,243",Comerica Park
Houston Astros,AL,"2,153,585",81,"26,587","2,277,838","15,777","43,753","241,646","406,827","403,212","347,611","363,739","390,550",Minute Maid Park
Kansas City Royals,AL,"2,708,549",81,"33,439","2,242,224","20,236","40,085","287,349","476,212","389,115","573,168","479,579","503,126",Kauffman Stadium
Los Angeles Dodgers,NL,"3,764,815",81,"46,479","2,796,585","37,738","53,518","572,360","732,841","554,959","613,928","614,031","676,696",Dodger Stadium
Milwaukee Brewers,NL,"2,542,558",81,"31,390","2,562,364","18,468","46,032","419,635","522,750","373,354","330,016","562,162","334,641",American Family Field
Minnesota Twins,AL,"2,220,054",81,"27,408","2,344,521","17,449","40,660","218,519","403,788","440,225","437,793","336,073","383,656",Target Field
New York Mets,NL,"2,569,753",81,"31,725","2,486,157","20,534","43,947","334,548","525,447","343,420","412,384","478,373","475,581",Citi Field
New York Yankees,AL,"3,193,795",80,"39,922","2,537,141","30,038","48,608","484,938","388,821","531,660","492,632","667,777","627,967",Yankee Stadium II
Oakland Athletics,AL,"1,768,175",81,"21,829","2,391,645","11,364","36,067","291,414","314,381","271,592","279,949","317,379","293,460",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,831,080",78,"23,475","2,503,409","13,238","45,549","305,434","335,632","353,693","248,121","347,303","240,897",Citizens Bank Park
Pittsburgh Pirates,NL,"2,498,596",81,"30,847","2,676,977","11,777","39,933","241,733","394,933","430,031","478,506","519,361","434,032",PNC Park
San Diego Padres,NL,"2,459,752",81,"30,367","2,569,468","18,730","45,282","425,842","419,781","383,298","328,419","374,427","527,985",Petco Park
San Francisco Giants,NL,"3,375,882",81,"41,678","2,763,821","41,025","42,743","415,522","706,021","584,360","505,994","502,365","661,620",Oracle Park
Seattle Mariners,AL,"2,193,581",81,"27,081","2,353,217","13,389","45,909","347,030","397,096","424,255","407,034","326,952","291,214",T-Mobile Park
St. Louis Cardinals,NL,"3,520,889",81,"43,468","2,505,425","40,052","47,875","423,199","697,167","484,333","746,854","507,527","661,809",Busch Stadium III
Tampa Bay Rays,AL,"1,247,668",81,"15,403","2,283,309","10,088","31,042","210,534","185,033","231,702","198,322","197,551","224,526",Tropicana Field
Texas Rangers,AL,"2,491,875",81,"30,764","2,354,914","17,884","48,885","256,456","443,552","355,669","434,722","448,720","552,756",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,794,891",81,"34,505","2,193,264","14,184","48,414","244,502","397,715","514,936","308,346","675,731","653,661",Rogers Centre
Washington Nationals,NL,"2,619,843",81,"32,344","2,418,470","23,192","42,295","301,740","377,561","513,937","403,216","511,768","511,621",Nationals Park
Miami Marlins,NL,"1,752,235",81,"21,633","2,337,236","14,958","36,969","234,682","268,472","373,212","237,233","333,083","305,553",LoanDepot Park
Los Angeles Angels,AL,"3,012,765",81,"37,195","2,345,619","24,304","44,489","361,529","536,342","593,224","447,295","497,532","576,843",Angel Stadium of Anaheim
