team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Anaheim Angels,AL,"3,061,094",81,"37,791","2,177,087","24,000","43,871","585,313","387,381","488,714","632,538","504,640","462,508",Angel Stadium of Anaheim
Arizona Diamondbacks,NL,"2,805,542",81,"34,636","2,399,130","24,306","47,356","414,037","582,763","412,786","395,596","622,149","378,211",Chase Field
Atlanta Braves,NL,"2,401,084",79,"30,393","2,293,054","17,345","49,127","386,127","338,486","373,705","534,445","412,162","356,159",Turner Field
Baltimore Orioles,AL,"2,454,523",81,"30,303","2,178,923","17,267","49,549","351,042","360,172","454,415","353,627","501,102","434,165",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,724,165",81,"33,632","2,443,590","26,688","35,099","341,101","532,044","444,378","376,166","655,466","375,010",Fenway Park
Chicago Cubs,NL,"2,962,630",80,"37,033","2,672,488","27,388","40,389","420,574","471,544","484,788","579,526","514,865","491,333",Wrigley Field
Chicago White Sox,AL,"1,939,594",81,"23,946","2,187,539","10,639","45,440","262,791","213,168","385,707","271,773","388,311","417,844",Guaranteed Rate Field
Cincinnati Reds,NL,"2,355,259",81,"29,077","2,169,148","18,069","42,343","390,371","374,503","414,218","455,915","456,400","263,852",Great American Ballpark
Cleveland Indians,AL,"1,727,001",81,"21,321","1,959,032","14,841","42,301","226,852","278,927","319,794","302,170","400,666","198,592",Progressive Field
Colorado Rockies,NL,"2,334,175",81,"28,817","2,229,570","21,563","48,560","407,109","421,266","375,670","401,019","428,459","300,652",Coors Field
Detroit Tigers,AL,"1,368,245",80,"17,103","1,959,621","10,234","44,095","142,977","247,233","272,781","239,478","276,896","188,880",Comerica Park
Florida Marlins,NL,"1,303,214",80,"16,290","2,079,745","10,052","40,414","214,568","133,155","184,344","257,962","207,622","305,563",Sun Life Stadium
Houston Astros,NL,"2,455,241",81,"30,312","2,233,665","18,594","43,241","286,981","470,567","377,231","414,925","543,837","361,700",Minute Maid Park
Kansas City Royals,AL,"1,779,895",78,"22,819","2,118,471","10,429","40,406","193,745","309,202","354,896","333,074","372,059","216,919",Kauffman Stadium
Los Angeles Dodgers,NL,"3,138,696",81,"38,749","2,323,161","23,486","55,038","406,662","529,353","557,578","538,532","599,904","506,667",Dodger Stadium
Milwaukee Brewers,NL,"1,700,354",81,"20,992","2,205,324","10,044","46,218","186,388","306,995","273,525","276,930","312,235","344,281",American Family Field
Minnesota Twins,AL,"1,946,011",81,"24,025","2,027,371","11,434","48,617","285,256","322,414","302,563","333,249","318,799","383,730",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"1,025,639",81,"12,662","2,103,589","10,034","36,879","220,699","126,209","140,718","164,741","204,084","169,188","Estadio Hiram Bithorn, Stade Olympique"
New York Mets,NL,"2,168,832",77,"28,167","2,294,281","15,155","55,386","407,519","287,096","362,499","456,693","346,017","309,008",Shea Stadium
New York Yankees,AL,"3,460,600",81,"42,723","2,789,677","14,077","55,444","361,041","710,643","532,917","556,578","758,295","541,126",Yankee Stadium I
Oakland Athletics,AL,"2,216,596",81,"27,365","2,151,231","10,695","55,601","316,353","336,631","385,949","394,811","499,127","283,725",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,259,948",78,"28,974","2,188,701","13,283","61,068","339,128","209,461","356,946","470,260","275,107","609,046",Veterans Stadium
Pittsburgh Pirates,NL,"1,636,751",78,"20,984","2,229,327","10,384","37,820","267,426","241,950","283,836","323,145","339,447","180,947",PNC Park
San Diego Padres,NL,"2,030,084",81,"25,063","2,353,755","10,810","61,707","344,189","308,036","330,614","357,503","305,330","384,412",Qualcomm Stadium
San Francisco Giants,NL,"3,264,898",81,"40,307","2,672,986","32,991","42,674","425,668","576,661","559,626","546,857","505,529","650,557",Oracle Park
Seattle Mariners,AL,"3,267,509",81,"40,340","2,197,822","25,231","46,171","527,283","498,760","545,299","623,496","693,050","379,621",T-Mobile Park
St. Louis Cardinals,NL,"2,910,386",81,"35,931","2,358,790","25,396","49,561","331,515","650,374","508,565","468,767","527,764","423,401",Busch Stadium II
Tampa Bay Devil Rays,AL,"1,058,695",81,"13,070","2,189,633","10,013","34,391","212,691","107,314","216,249","153,668","144,350","224,423",Tropicana Field
Texas Rangers,AL,"2,094,394",81,"25,857","2,344,062","15,119","49,544","434,510","309,623","361,150","371,524","315,946","301,641",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"1,799,818",81,"22,220","2,120,100","13,099","50,119","277,021","285,247","364,475","333,548","245,041","294,486",Rogers Centre
