Tm,W,L,W-L%,GB
Toronto Blue Jays,91,71,.562,--
Boston Red Sox,84,78,.519,7.0
Detroit Tigers,84,78,.519,7.0
Milwaukee Brewers,83,79,.512,8.0
New York Yankees,71,91,.438,20.0
Baltimore Orioles,67,95,.414,24.0
Cleveland Indians,57,105,.352,34.0
Minnesota Twins,95,67,.586,--
Chicago White Sox,87,75,.537,8.0
Texas Rangers,85,77,.525,10.0
Oakland Athletics,84,78,.519,11.0
Seattle Mariners,83,79,.512,12.0
Kansas City Royals,82,80,.506,13.0
California Angels,81,81,.500,14.0
Pittsburgh Pirates,98,64,.605,--
St. Louis Cardinals,84,78,.519,14.0
Philadelphia Phillies,78,84,.481,20.0
Chicago Cubs,77,83,.481,20.0
New York Mets,77,84,.478,20.5
Montreal Expos,71,90,.441,26.5
Atlanta Braves,94,68,.580,--
Los Angeles Dodgers,93,69,.574,1.0
San Diego Padres,84,78,.519,10.0
San Francisco Giants,75,87,.463,19.0
Cincinnati Reds,74,88,.457,20.0
Houston Astros,65,97,.401,29.0
