Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Homestead Grays,41,13,0,.759,7.2,3.4,3.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,New York Yankees,99,53,5,.651,6.2,4.5,1.6,-0.2,1.4,97-55,2,55-22,44-31,5-2,16-15,77-40,22-13,38-27,61-26
3,Kansas City Monarchs,45,27,1,.625,5.9,4.0,1.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
4,Chicago Cubs,89,63,2,.586,4.6,3.9,0.8,-0.1,0.7,88-64,1,44-33,45-30,9-9,23-19,70-50,19-13,47-41,42-22
5,Memphis Red Sox,39,24,1,.619,4.4,6.4,-2.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
6,Boston Red Sox,88,61,1,.591,6.0,5.0,1.0,-0.1,0.9,87-62,1,52-23,36-38,9-1,23-15,80-52,8-9,33-33,55-28
7,Pittsburgh Pirates,86,64,2,.573,4.7,4.1,0.5,-0.1,0.5,83-67,3,44-33,42-31,12-6,32-20,56-45,30-19,48-40,38-24
8,Philadelphia Stars,41,32,3,.562,5.3,6.0,-0.6,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
9,Cleveland Indians,86,66,1,.566,5.5,5.1,0.4,-0.1,0.4,82-70,4,46-30,40-36,6-4,27-22,64-43,22-23,30-35,56-31
10,New York Giants,83,67,2,.553,4.6,4.2,0.4,0.0,0.4,82-68,1,43-30,40-37,4-5,24-16,57-52,26-15,42-45,41-22
11,Baltimore Elite Giants,26,23,3,.531,6.4,4.6,1.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,Chicago American Giants,41,37,3,.526,5.0,4.5,0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Cincinnati Reds,82,68,1,.547,4.8,4.2,0.6,-0.1,0.5,84-66,-2,43-34,39-34,9-7,16-28,68-60,14-8,42-43,40-25
14,Detroit Tigers,84,70,1,.545,5.6,5.1,0.4,-0.1,0.4,83-71,1,48-31,36-39,2-8,20-23,73-54,11-16,30-36,54-34
15,Pittsburgh Crawfords,28,26,1,.519,5.5,5.6,-0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
16,Indianapolis ABCs,17,20,0,.459,4.5,5.9,-1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
17,Boston Bees,77,75,1,.507,3.7,4.0,-0.4,0.0,-0.3,69-83,8,45-30,32-45,9-11,34-23,63-59,14-16,38-48,39-27
18,Washington Nationals,75,76,1,.497,5.4,5.7,-0.4,0.1,-0.3,71-80,4,44-33,31-43,9-8,20-20,53-57,22-19,33-53,42-23
19,Jacksonville Red Caps,14,16,1,.467,6.1,5.4,0.7,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
20,Newark Eagles,23,30,0,.434,4.9,4.9,0.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Atlanta Black Crackers,32,31,0,.508,5.1,5.2,-0.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
22,St. Louis Cardinals,71,80,5,.470,4.6,4.6,0.0,0.0,0.0,76-75,-5,36-41,35-39,7-8,26-33,56-63,15-17,43-65,28-15
23,Chicago White Sox,65,83,1,.439,4.8,5.0,-0.3,0.0,-0.3,70-78,-5,33-39,32-44,4-8,21-25,57-70,8-13,30-54,35-29
24,New York Black Yankees,11,28,1,.282,4.1,6.5,-2.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
25,Brooklyn Dodgers,69,80,2,.463,4.7,4.7,0.0,0.0,0.0,74-75,-5,31-41,38-39,3-5,16-24,51-63,18-17,45-61,24-19
26,St. Louis Browns,55,97,4,.362,4.8,6.2,-1.3,0.2,-1.1,59-93,-4,31-43,24-54,3-7,18-21,45-82,10-15,31-57,24-40
27,Birmingham Black Barons,13,46,0,.220,3.9,6.3,-2.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
28,Washington Black Senators,2,20,0,.091,4.0,9.1,-5.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
29,Philadelphia Athletics,53,99,2,.349,4.7,6.2,-1.5,0.2,-1.3,57-95,-4,28-47,25-52,3-3,14-18,45-81,8-18,25-62,28-37
30,Philadelphia Phillies,45,105,1,.300,3.6,5.6,-1.9,0.2,-1.7,47-103,-2,26-48,19-57,6-8,22-30,35-79,10-26,32-74,13-31
,Average,52,52,1,.500,5.0,5.2,,,,52-52,,21-18,18-21,3-3,11-11,31-31,8-8,19-25,20-14
