team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"1,539,796",76,"20,260","1,400,566","10,022","52,270","172,369","200,296","433,365","269,478","224,031","240,257",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,203,424",67,"17,962","1,302,625","10,063","37,891","96,585","188,119","171,886","383,089","219,682","144,063",Memorial Stadium
Boston Red Sox,AL,"815,197",68,"11,988","809,470","1,003","27,391","65,815","81,024","232,471","160,533","188,650","86,704",Fenway Park
Chicago Cubs,NL,"635,890",70,"9,084","1,155,575","1,041","30,931","65,655","57,950","110,755","144,925","172,615","83,990",Wrigley Field
Chicago White Sox,AL,"973,770",68,"14,320","931,958","1,881","40,058","54,701","172,757","183,945","270,347","185,966","106,054",Comiskey Park I
Cincinnati Reds,NL,"745,156",69,"10,799","1,406,010","10,009","32,552","17,514","119,614","205,405","120,560","183,695","98,368",Crosley Field
Cleveland Indians,AL,"920,251",71,"12,961","1,221,662","10,257","37,668","101,180","151,987","141,655","186,170","232,242","107,017",Cleveland Stadium
Detroit Tigers,AL,"1,124,294",70,"16,061","1,099,073","1,292","52,315","92,298","214,919","222,309","233,147","263,944","97,677",Tiger Stadium
Houston Astros,NL,"1,878,398",80,"23,480","1,110,710","10,291","50,908","172,073","340,803","396,381","415,686","423,602","129,853",Astrodome
Los Angeles Dodgers,NL,"2,617,056",78,"33,552","2,141,212","18,225","54,993","325,361","430,482","257,843","605,921","404,833","592,616",Dodger Stadium
Minnesota Twins,AL,"1,259,556",77,"16,358","1,094,676","10,129","37,207","50,155","182,608","294,005","272,923","207,895","251,970",Metropolitan Stadium
New York Mets,NL,"1,933,834",69,"28,027","1,177,534","10,810","56,658","112,880","319,384","400,571","340,391","494,765","265,843",Shea Stadium
New York Yankees,AL,"1,224,803",69,"17,751","1,444,809","1,440","61,071","111,296","226,906","265,891","264,260","279,819","76,631",Yankee Stadium I
Philadelphia Phillies,NL,"1,108,191",74,"14,976","1,459,482","10,205","36,625","69,232","123,851","324,100","202,534","265,422","123,052",Shibe Park
Pittsburgh Pirates,NL,"1,196,618",75,"15,955","1,634,499","10,792","35,184","97,424","121,826","190,905","248,044","316,727","221,692",Forbes Field
San Francisco Giants,NL,"1,657,192",77,"21,522","2,207,215","10,831","42,647","222,049","284,831","171,958","374,686","367,410","236,258",Candlestick Park
St. Louis Cardinals,NL,"1,712,720",76,"22,536","1,332,048","10,707","48,085","57,952","345,006","346,222","342,127","380,306","241,107","Sportsman`s Park III, Busch Stadium II"
California Angels,AL,"1,407,756",77,"18,283","884,947","10,207","42,851","143,865","287,962","377,708","147,762","278,764","171,695",Angel Stadium of Anaheim
Kansas City Athletics,AL,"773,599",70,"11,051","768,185","10,084","32,088","33,365","138,396","145,488","197,923","131,491","126,936",Municipal Stadium
Washington Senators II,AL,"589,817",66,"8,937","735,062","1,124","44,468","63,524","147,435","111,582","125,688","120,152","21,436",Robert F. Kennedy Stadium
