team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Baltimore Orioles,AL,"784,803",68,"11,541","931,150","10,719","39,455","65,959","214,390","121,454","221,866","70,607","90,527",Memorial Stadium
Boston Red Sox,AL,"651,761",72,"9,052","791,133","1,247","22,031","41,810","199,392","120,632","128,026","104,357","57,544",Fenway Park
Chicago Cubs,NL,"632,788",70,"9,040","1,197,650","1,471","34,579","47,524","122,193","90,315","213,827","88,446","70,483",Wrigley Field
Chicago White Sox,AL,"1,133,319",67,"16,915","915,334","10,771","42,367","76,672","229,603","219,241","192,747","289,292","125,764",Comiskey Park I
Cincinnati Reds,NL,"1,048,540",73,"14,364","1,442,955","10,431","29,047","64,788","110,997","170,952","253,983","261,865","185,955",Crosley Field
Cleveland Indians,AL,"962,727",72,"13,371","814,174","1,831","56,634","72,987","112,926","232,175","297,906","170,474","76,259",Cleveland Stadium
Detroit Tigers,AL,"1,029,735",67,"15,369","797,944","10,053","50,383","66,585","148,100","184,552","303,229","227,897","99,372",Tiger Stadium
Houston Astros,NL,"2,151,470",80,"26,893","952,744","10,247","50,136","204,974","500,473","392,429","427,066","291,521","335,007",Astrodome
Los Angeles Dodgers,NL,"2,560,648",78,"32,829","1,918,831","17,464","53,604","305,171","510,642","396,087","502,927","231,176","614,645",Dodger Stadium
Minnesota Twins,AL,"1,463,288",77,"19,004","1,178,461","10,521","41,021","25,535","123,481","253,659","382,588","451,169","226,856",Metropolitan Stadium
New York Mets,NL,"1,755,366",68,"25,814","1,079,894","10,371","57,175","132,294","329,120","330,660","303,985","512,287","147,020",Shea Stadium
New York Yankees,AL,"1,304,296",69,"18,903","1,545,756","10,352","71,245","103,335","167,503","295,326","273,290","250,862","213,980",Yankee Stadium I
Philadelphia Phillies,NL,"1,166,099",73,"15,974","1,243,334","10,000","37,110","79,612","210,360","167,857","263,259","316,964","128,047",Shibe Park
Pittsburgh Pirates,NL,"916,743",73,"12,558","1,174,345","1,299","37,631","53,708","89,367","197,248","227,601","170,489","178,330",Forbes Field
San Francisco Giants,NL,"1,546,066",76,"20,343","1,800,184","10,345","42,807","131,077","312,434","227,982","219,563","295,310","359,700",Candlestick Park
St. Louis Cardinals,NL,"1,234,891",75,"16,465","1,338,650","10,108","31,229","92,653","183,283","279,395","222,002","310,961","146,597",Sportsman`s Park III
California Angels,AL,"570,253",69,"8,265","765,923","10,058","25,795","77,280","109,210","122,330","90,135","123,518","47,780",Dodger Stadium
Kansas City Athletics,AL,"523,276",70,"7,475","602,648","1,271","32,503","54,727","52,192","82,593","115,885","160,476","57,403",Municipal Stadium
Milwaukee Braves,NL,"555,668",73,"7,612","1,419,692","1,324","33,874","51,537","43,736","114,053","65,640","195,714","84,988",County Stadium
Washington Senators II,AL,"562,913",67,"8,402","643,848","1,206","43,554","74,918","148,840","115,299","111,219","61,349","51,288",Robert F. Kennedy Stadium
