Tm,W,L,W-L%,GB
Boston Red Sox,95,66,.590,--
New York Yankees,90,72,.556,5.5
Detroit Tigers,87,75,.537,8.5
Toronto Blue Jays,86,76,.531,9.5
Cleveland Indians,84,78,.519,11.5
Milwaukee Brewers,77,84,.478,18.0
Baltimore Orioles,73,89,.451,22.5
California Angels,92,70,.568,--
Texas Rangers,87,75,.537,5.0
Kansas City Royals,76,86,.469,16.0
Oakland Athletics,76,86,.469,16.0
Chicago White Sox,72,90,.444,20.0
Minnesota Twins,71,91,.438,21.0
Seattle Mariners,67,95,.414,25.0
New York Mets,108,54,.667,--
Philadelphia Phillies,86,75,.534,21.5
St. Louis Cardinals,79,82,.491,28.5
Montreal Expos,78,83,.484,29.5
Chicago Cubs,70,90,.438,37.0
Pittsburgh Pirates,64,98,.395,44.0
Houston Astros,96,66,.593,--
Cincinnati Reds,86,76,.531,10.0
San Francisco Giants,83,79,.512,13.0
San Diego Padres,74,88,.457,22.0
Los Angeles Dodgers,73,89,.451,23.0
Atlanta Braves,72,89,.447,23.5
