Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Indianapolis ABCs,,,25.2,25.6,100,100,0,0,2,,Allen
Atlantic City Bacharach Giants,,,29.6,27.2,100,100,1,0,1,,Lloyd
Birmingham Black Barons,,,27.7,28.8,100,100,2,0,4,,Crawford
Baltimore Black Sox,,,28.3,27.7,100,100,2,0,3,,Beckwith and Hill
Boston Red Sox,"267,782","3,570",27.8,27.7,99,103,1,0,1,"$126,150",Fohl
Brooklyn Royal Giants,,,30.5,29.4,100,100,0,0,1,,Douglass
Brooklyn Robins,"659,435","8,564",31.1,30.3,97,97,3,0,0,"$179,353",Robinson
Boston Braves,"313,528","4,125",28.0,27.9,91,94,3,0,0,"$134,990",Bancroft
Chicago American Giants,,,29.4,27.9,100,100,2,0,3,,Foster
Chicago Cubs,"622,610","8,086",27.5,28.2,102,102,3,0,1,"$183,382","Killefer, Maranville and Gibson"
Chicago White Sox,"832,231","10,808",29.8,27.5,95,94,6,0,1,"$140,850",Collins
Cincinnati Reds,"464,920","6,117",29.6,30.8,98,96,2,0,0,"$189,900",Hendricks
Cleveland Indians,"419,005","5,442",28.1,28.3,101,101,2,0,1,"$101,900",Speaker
Cuban Stars East,,,28.1,25.6,100,100,1,0,2,,Chacón
Cuban Stars West,,,24.5,23.6,100,100,0,0,0,,
Detroit Tigers,"820,766","10,659",29.0,28.4,98,98,4,0,2,"$115,850",Cobb
Detroit Stars,,,26.9,25.4,100,100,2,0,2,,Petway
Harrisburg Giants,,,26.6,26.6,100,100,2,0,4,,Charleston
Hilldale Club,,,28.9,27.1,100,100,3,0,3,,Warfield
Kansas City Monarchs,,,28.4,28.0,100,100,2,0,4,,Méndez
Memphis Red Sox,,,26.2,24.5,100,100,0,0,2,,Dismukes
New York Lincoln Giants,,,27.9,30.2,100,100,0,0,1,,Gans and Lindsay
New York Giants,"778,993","10,250",27.9,28.0,96,95,8,0,3,"$200,800",McGraw and Jennings
New York Yankees,"697,267","8,826",28.2,29.9,98,97,6,0,2,"$287,350",Huggins
Philadelphia Athletics,"869,703","11,295",27.0,28.1,107,106,4,0,5,"$136,850",Mack
Philadelphia Phillies,"304,905","3,960",29.6,30.8,108,112,0,0,1,"$135,250",Fletcher
Pittsburgh Pirates,"804,354","10,446",28.0,30.3,106,104,3,0,2,"$168,050",McKechnie
St. Louis Browns,"462,898","5,935",29.3,29.6,105,106,1,0,0,"$122,150",Sisler
St. Louis Stars,,,25.0,25.6,100,100,2,0,3,,Taylor
St. Louis Cardinals,"404,959","5,328",27.0,27.8,102,101,4,0,2,"$155,900",Rickey and Hornsby
Wilmington Potomacs,,,27.2,23.9,100,100,0,0,0,,Eggleston
Washington Nationals,"817,199","10,753",29.7,31.8,98,96,5,0,3,"$164,200",Harris
