Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Pittsburgh Crawfords,51,27,3,.654,7.1,5.1,2.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Chicago Cubs,100,54,0,.649,5.5,3.9,1.6,-0.2,1.4,101-53,-1,56-21,44-33,11-10,25-23,83-47,17-7,37-29,63-25
3,Detroit Tigers,93,58,1,.616,6.0,4.4,1.7,-0.2,1.5,97-54,-4,53-25,40-33,8-6,19-27,69-41,24-17,39-27,54-31
4,St. Louis Cardinals,96,58,0,.623,5.4,4.1,1.3,-0.2,1.2,96-58,0,53-24,43-34,12-6,23-22,75-49,21-9,33-33,63-25
5,New York Yankees,89,60,0,.597,5.5,4.2,1.2,-0.1,1.1,92-57,-3,41-33,48-27,5-7,15-29,62-50,27-10,37-28,52-32
6,New York Cubans,31,25,5,.554,4.9,4.8,0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
7,Philadelphia Stars,37,31,4,.544,5.6,6.1,-0.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,New York Giants,91,62,3,.595,4.9,4.3,0.6,-0.1,0.5,86-67,5,50-27,41-35,13-6,23-11,75-46,16-16,36-30,55-32
9,Cleveland Indians,82,71,3,.536,5.0,4.7,0.2,0.0,0.2,80-73,2,48-29,34-42,6-8,22-16,54-57,28-14,28-38,54-33
10,Pittsburgh Pirates,86,67,0,.562,4.9,4.2,0.6,-0.1,0.6,86-67,0,46-31,40-36,3-6,23-17,45-40,41-27,26-40,60-27
11,Columbus Elite Giants,29,24,2,.547,6.2,4.9,1.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
12,Boston Red Sox,78,75,1,.510,4.7,4.8,-0.1,0.0,-0.1,75-78,3,41-37,37-38,7-6,28-17,66-65,12-10,27-38,51-37
13,Brooklyn Eagles,32,31,0,.508,5.9,5.9,0.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
14,Chicago White Sox,74,78,1,.487,4.8,4.9,-0.1,0.0,-0.1,75-77,-1,42-34,32-44,8-5,24-19,61-69,13-9,39-47,35-31
15,Brooklyn Dodgers,70,83,1,.458,4.6,5.0,-0.4,0.0,-0.3,71-82,-1,38-38,32-45,5-8,15-21,59-67,11-16,31-57,39-26
16,Cincinnati Reds,68,85,1,.444,4.2,5.0,-0.8,0.1,-0.7,64-89,4,41-35,27-50,5-8,21-15,56-65,12-20,32-55,36-30
17,Washington Nationals,67,86,1,.438,5.3,5.9,-0.5,0.1,-0.5,70-83,-3,37-39,30-47,11-8,20-28,39-62,28-24,34-54,33-32
18,Chicago American Giants,24,31,1,.436,5.9,6.3,-0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
19,St. Louis Browns,65,87,3,.428,4.6,6.0,-1.4,0.2,-1.2,58-94,7,31-44,34-43,6-5,21-16,47-68,18-19,33-54,32-33
20,Homestead Grays,26,36,2,.419,6.9,6.5,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
21,Philadelphia Phillies,64,89,3,.418,4.4,5.6,-1.2,0.2,-1.0,60-93,4,35-43,29-46,6-5,23-20,48-59,16-30,32-56,32-33
22,Philadelphia Athletics,58,91,0,.389,4.8,5.8,-1.1,0.1,-1.0,61-88,-3,30-42,28-49,6-12,19-16,49-78,9-13,27-56,31-35
23,Newark Dodgers,18,43,1,.295,4.9,8.0,-3.1,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
24,Boston Braves,38,115,0,.248,3.8,5.6,-1.8,0.2,-1.6,50-103,-12,25-50,13-65,1-7,7-31,32-93,6-22,14-73,24-42
,Average,61,61,1,.500,5.2,5.2,,,,61-60,,27-23,23-27,4-4,13-13,38-39,12-10,21-29,29-21
