Tm,W,L,W-L%,GB
Tampa Bay Rays,97,65,.599,--
Boston Red Sox,95,67,.586,2.0
New York Yankees,89,73,.549,8.0
Toronto Blue Jays,86,76,.531,11.0
Baltimore Orioles,68,93,.422,28.5
Chicago White Sox,89,74,.546,--
Minnesota Twins,88,75,.540,1.0
Cleveland Indians,81,81,.500,7.5
Kansas City Royals,75,87,.463,13.5
Detroit Tigers,74,88,.457,14.5
Los Angeles Angels of Anaheim,100,62,.617,--
Texas Rangers,79,83,.488,21.0
Oakland Athletics,75,86,.466,24.5
Seattle Mariners,61,101,.377,39.0
Philadelphia Phillies,92,70,.568,--
New York Mets,89,73,.549,3.0
Florida Marlins,84,77,.522,7.5
Atlanta Braves,72,90,.444,20.0
Washington Nationals,59,102,.366,32.5
Chicago Cubs,97,64,.602,--
Milwaukee Brewers,90,72,.556,7.5
Houston Astros,86,75,.534,11.0
St. Louis Cardinals,86,76,.531,11.5
Cincinnati Reds,74,88,.457,23.5
Pittsburgh Pirates,67,95,.414,30.5
Los Angeles Dodgers,84,78,.519,--
Arizona Diamondbacks,82,80,.506,2.0
Colorado Rockies,74,88,.457,10.0
San Francisco Giants,72,90,.444,12.0
San Diego Padres,63,99,.389,21.0
