Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Boston Red Sox,"584,619","7,308",25.5,25.3,103,102,2,0,0,,Donovan
Brooklyn Superbas,"279,321","3,492",25.9,28.1,97,99,1,0,0,,Dahlen
Boston Doves,"149,027","1,911",26.5,26.8,102,108,0,0,0,,Lake
Chicago Cubs,"526,152","6,833",29.3,28.6,99,94,4,0,0,,Chance
Chicago White Sox,"552,084","6,988",27.1,28.2,94,94,1,0,0,,Duffy
Cincinnati Reds,"380,622","4,943",26.2,27.0,96,96,1,0,0,,Griffith
Cleveland Naps,"293,456","3,668",28.2,26.6,102,103,4,0,0,,McGuire
Detroit Tigers,"391,288","5,017",27.8,27.2,107,104,3,0,0,,Jennings
New York Giants,"511,785","6,478",25.7,26.1,101,99,3,0,0,,McGraw
New York Highlanders,"355,857","4,622",27.4,25.4,106,105,0,0,0,,Stallings and Chase
Philadelphia Athletics,"588,905","7,550",27.6,28.3,100,94,4,0,0,,Mack
Philadelphia Phillies,"296,597","3,803",28.9,28.7,102,102,0,0,0,,Dooin
Pittsburgh Pirates,"436,586","5,745",28.4,28.2,107,104,4,0,0,,Clarke
St. Louis Browns,"249,889","3,163",28.2,27.1,93,98,2,0,0,,O'Connor
St. Louis Cardinals,"355,668","4,680",26.4,25.3,96,98,3,0,0,,Bresnahan
Washington Nationals,"254,591","3,306",27.9,26.4,95,99,1,0,0,,McAleer
