Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Birmingham Black Barons,,,27.4,26.2,100,100,0,3,9,,Welch
Baltimore Elite Giants,,,28.9,29.9,100,100,1,3,10,,Snow
Boston Red Sox,"718,497","9,331",28.2,29.2,102,100,5,5,13,"$216,500",Cronin
Brooklyn Dodgers,"1,214,910","15,379",28.3,31.4,105,102,5,7,23,,Durocher
Boston Braves,"263,680","3,469",27.7,26.2,94,97,3,1,12,,Stengel
Chicago American Giants,,,27.3,30.2,100,100,0,4,15,,Taylor
Chicago Cubs,"545,159","7,080",26.6,30.1,96,96,2,4,15,,Wilson
Chicago White Sox,"677,077","8,571",30.0,30.2,99,99,2,3,9,"$165,850",Dykes
Cincinnati Reds,"643,513","8,146",28.8,29.8,100,99,2,4,15,,McKechnie
Cleveland Indians,"745,948","9,688",27.0,27.5,95,95,3,4,16,"$171,400",Peckinpaugh
Detroit Tigers,"684,915","8,895",29.2,28.6,110,109,3,3,17,"$223,700",Baker
Homestead Grays,,,32.3,29.7,100,100,3,2,13,,Harris
Jacksonville Red Caps,,,28.0,28.6,100,100,0,3,5,,Mitchell
Kansas City Monarchs,,,29.9,28.4,100,100,4,4,16,,Allen
Memphis Red Sox,,,31.1,30.2,100,100,0,5,14,,Radcliffe
New York Black Yankees,,,33.0,37.3,100,100,2,2,11,,Burnett
Newark Eagles,,,24.7,22.2,100,100,3,3,10,,Mackey
New York Cubans,,,28.4,27.0,100,100,0,3,7,,Fernández
New York Giants,"763,098","9,783",29.5,29.6,102,102,3,3,14,,Terry
New York Yankees,"964,722","12,368",27.4,29.7,99,95,6,6,16,"$340,800",McCarthy
Philadelphia Athletics,"528,894","6,869",27.0,28.6,97,101,1,1,7,"$165,782",Mack
Philadelphia Phillies,"231,401","3,045",26.5,27.5,95,101,1,1,5,,Prothro
Pittsburgh Pirates,"482,241","6,183",27.4,29.6,100,100,3,3,11,,Frisch
Philadelphia Stars,,,29.3,30.0,100,100,1,1,12,,Parnell and Charleston
St. Louis Browns,"176,240","2,231",28.1,29.7,103,104,1,1,11,"$179,150",Haney and Sewell
St. Louis-New Orleans Stars,,,27.1,24.6,100,100,0,4,8,,Mitchell
St. Louis Cardinals,"633,645","8,021",27.4,27.7,107,104,3,4,15,,Southworth
Washington Nationals,"415,663","5,329",27.1,28.3,95,97,2,2,15,"$105,200",Harris
