team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"761,542",70,"10,879","1,396,722","10,023","50,597","82,438","104,160","109,831","244,494","160,778","59,841",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"924,245",70,"13,204","1,278,476","10,033","43,851","70,059","126,445","156,220","244,196","191,414","135,911",Memorial Stadium
Boston Red Sox,AL,"1,423,484",74,"19,236","1,053,933","10,137","34,632","69,012","147,495","209,865","268,162","362,488","366,462",Fenway Park
Chicago Cubs,NL,"1,330,571",75,"17,741","1,347,384","1,362","37,811","80,653","187,966","366,001","312,973","238,347","144,631",Wrigley Field
Chicago White Sox,AL,"1,198,654",66,"18,161","941,546","10,358","51,904","59,912","170,927","273,939","281,680","243,006","169,190",Comiskey Park I
Cincinnati Reds,NL,"1,628,077",71,"22,931","1,402,650","10,069","52,116","68,869","212,489","318,293","413,675","373,196","241,555",Cinergy Field
Cleveland Indians,AL,"759,774",65,"11,689","989,408","1,851","37,671","50,451","88,447","168,752","120,264","279,992","51,868",Cleveland Stadium
Detroit Tigers,AL,"1,938,791",75,"25,851","1,093,138","10,012","52,150","87,295","268,290","364,042","462,269","351,307","405,588",Tiger Stadium
Houston Astros,NL,"1,464,244",76,"19,266","1,263,497","10,264","43,561","170,937","264,189","217,405","410,233","229,278","172,202",Astrodome
Kansas City Royals,AL,"717,082",70,"10,244","705,713","10,182","28,563","68,248","102,836","136,735","149,309","166,030","93,924",Municipal Stadium
Los Angeles Dodgers,NL,"1,860,498",73,"25,486","1,455,431","10,703","53,107","228,896","247,214","513,571","256,494","357,718","256,605",Dodger Stadium
Milwaukee Brewers,AL,"600,419",68,"8,830","851,139","10,031","26,735","45,356","67,919","167,875","124,030","128,494","66,745",County Stadium
Minnesota Twins,AL,"807,571",69,"11,704","863,481","10,563","36,090","26,669","102,674","169,431","186,868","217,186","104,743",Metropolitan Stadium
Montreal Expos,NL,"1,149,506",73,"15,747","1,131,834","10,314","29,102","81,626","183,147","201,477","230,361","295,186","157,709",Parc Jarry
New York Mets,NL,"2,134,194",72,"29,642","1,539,494","10,991","54,198","81,067","314,080","553,835","395,396","512,817","276,999",Shea Stadium
New York Yankees,AL,"967,715",62,"15,608","1,131,617","10,069","56,238","77,140","128,555","76,801","218,813","266,182","200,224",Yankee Stadium I
Oakland Athletics,AL,"927,544",70,"13,251","1,131,872","10,141","50,182","29,128","182,758","202,565","189,694","178,072","145,327",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,481,637",77,"19,242","1,196,510","10,057","57,267","108,979","333,171","217,884","421,243","261,536","138,824",Veterans Stadium
Pittsburgh Pirates,NL,"1,520,969",73,"20,835","1,411,018","10,684","49,886","124,334","287,339","185,777","409,669","273,278","240,572",Three Rivers Stadium
San Diego Padres,NL,"643,273",70,"9,190","1,022,839","10,888","35,423","84,138","133,025","133,970","116,702","116,406","59,032",Qualcomm Stadium
San Francisco Giants,NL,"645,578",69,"9,356","1,349,211","1,578","40,821","110,730","105,273","119,686","140,688","105,253","63,948",Candlestick Park
St. Louis Cardinals,NL,"1,196,894",72,"16,624","1,300,393","10,201","40,754","14,956","310,666","202,849","232,200","284,123","152,100",Busch Stadium II
Texas Rangers,AL,"667,287",75,"8,897","785,220","10,099","24,222","85,326","117,584","163,840","120,880","110,370","69,287",Arlington Stadium
California Angels,AL,"736,804",78,"9,446","843,827","10,088","41,086","32,114","189,144","85,601","187,997","133,030","108,918",Angel Stadium of Anaheim
