Tm,W,L,W-L%,GB
New York Yankees,98,64,.605,--
Boston Red Sox,94,68,.580,4.0
Toronto Blue Jays,84,78,.519,14.0
Baltimore Orioles,78,84,.481,20.0
Tampa Bay Devil Rays,69,93,.426,29.0
Cleveland Indians,97,65,.599,--
Chicago White Sox,75,86,.466,21.5
Detroit Tigers,69,92,.429,27.5
Kansas City Royals,64,97,.398,32.5
Minnesota Twins,63,97,.394,33.0
Texas Rangers,95,67,.586,--
Oakland Athletics,87,75,.537,8.0
Seattle Mariners,79,83,.488,16.0
Anaheim Angels,70,92,.432,25.0
Atlanta Braves,103,59,.636,--
New York Mets,97,66,.595,6.5
Philadelphia Phillies,77,85,.475,26.0
Montreal Expos,68,94,.420,35.0
Florida Marlins,64,98,.395,39.0
Houston Astros,97,65,.599,--
Cincinnati Reds,96,67,.589,1.5
Pittsburgh Pirates,78,83,.484,18.5
St. Louis Cardinals,75,86,.466,21.5
Milwaukee Brewers,74,87,.460,22.5
Chicago Cubs,67,95,.414,30.0
Arizona Diamondbacks,100,62,.617,--
San Francisco Giants,86,76,.531,14.0
Los Angeles Dodgers,77,85,.475,23.0
San Diego Padres,74,88,.457,26.0
Colorado Rockies,72,90,.444,28.0
