Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Indianapolis ABCs,,,27.1,24.2,100,100,1,0,7,,Taylor
Boston Red Sox,"350,975","4,387",28.6,28.3,94,98,0,0,1,"$135,650",Collins
Brooklyn Robins,"753,133","9,910",29.3,32.9,100,99,3,0,4,,Robinson
Boston Braves,"515,005","6,603",30.3,30.2,97,99,1,0,3,,McKechnie
Chicago Columbia Giants,,,31.3,27.3,100,100,0,0,2,,Malarcher
Cleveland Cubs,,,27.5,29.1,100,100,1,0,6,,Hewitt
Chicago Cubs,"1,086,422","14,109",29.2,30.1,102,100,5,0,8,,Hornsby
Chicago White Sox,"403,550","5,241",28.6,29.0,94,97,3,0,2,"$159,700",Bush
Cincinnati Reds,"263,316","3,420",29.3,29.7,93,96,3,0,3,,Howley
Cleveland Indians,"483,027","6,356",27.2,25.2,105,105,1,0,6,"$166,550",Peckinpaugh
Detroit Tigers,"434,056","5,637",27.4,28.7,103,104,3,0,4,"$133,350",Harris
Detroit Stars,,,28.2,29.5,100,100,1,0,3,,DeMoss
Kansas City Monarchs,,,0.0,0.0,100,100,0,0,0,,
Louisville White Sox,,,26.7,26.9,100,100,0,0,2,,Williams
New York Giants,"812,163","10,412",27.9,29.7,98,95,5,0,7,,McGraw
New York Yankees,"912,437","11,850",27.8,27.4,95,91,9,0,10,"$334,100",McCarthy
Philadelphia Athletics,"627,464","8,366",28.9,30.2,106,102,5,0,7,"$202,267",Mack
Philadelphia Phillies,"284,849","3,748",26.6,28.8,108,110,1,0,3,,Shotton
Pittsburgh Pirates,"260,392","3,338",27.6,29.2,98,99,3,0,6,,Ens
St. Louis Browns,"179,126","2,326",27.5,28.4,103,105,2,0,2,"$128,120",Killefer
St. Louis Stars,,,27.7,26.2,100,100,3,0,11,,Reese
St. Louis Cardinals,"608,535","7,802",30.0,30.4,105,103,5,0,8,,Street
Washington Nationals,"492,657","6,236",28.9,29.1,101,98,3,0,6,"$122,550",Johnson
