Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Birmingham Black Barons,,,29.6,31.5,100,100,0,1,8,,Welch
Baltimore Elite Giants,,,31.3,30.6,100,100,1,4,12,,Snow
Boston Red Sox,"603,794","7,741",30.3,27.3,102,101,1,0,7,"$232,800",Cronin
Brooklyn Dodgers,"1,059,220","13,580",29.2,28.2,99,99,1,0,8,,Durocher
Boston Braves,"374,178","4,989",28.8,30.8,100,101,1,0,10,,Coleman and Bissonette
Chicago American Giants,,,29.2,31.2,100,100,0,1,8,,Taylor
Cleveland Buckeyes,,,29.3,28.2,100,100,0,4,12,,Trouppe
Cincinnati-Indianapolis Clowns,,,28.2,24.6,100,100,0,1,6,,Walker
Chicago Cubs,"1,036,386","13,637",29.8,33.1,98,96,0,0,11,,Grimm
Chicago White Sox,"657,981","8,892",31.7,31.1,97,98,1,0,9,"$166,400",Dykes
Cincinnati Reds,"290,070","3,767",29.2,32.9,98,99,0,0,7,,McKechnie
Cleveland Indians,"558,182","7,249",27.7,29.1,95,96,2,0,10,"$84,000",Boudreau
Detroit Tigers,"1,280,341","16,847",32.4,28.4,107,105,2,0,12,"$107,500",O'Neill
Homestead Grays,,,34.6,30.9,100,100,5,3,12,,Harris
Kansas City Monarchs,,,30.1,31.9,100,100,3,3,13,,Duncan
Memphis Red Sox,,,32.2,29.9,100,100,0,2,9,,Brown
New York Black Yankees,,,31.7,34.3,100,100,1,2,5,,"Scales, Wells and Barker"
Newark Eagles,,,29.5,25.3,100,100,3,3,12,,Wells and Mackey
New York Cubans,,,31.4,33.3,100,100,1,3,11,,Fernández
New York Giants,"1,016,468","13,032",28.8,27.8,101,102,3,0,10,,Ott
New York Yankees,"881,845","11,603",30.2,30.4,104,103,2,0,12,,McCarthy
Philadelphia Athletics,"462,631","6,008",29.0,30.2,98,100,1,0,6,"$194,000",Mack
Philadelphia Phillies,"285,057","3,702",30.0,31.2,96,100,1,0,12,,Fitzsimmons and Chapman
Pittsburgh Pirates,"604,694","7,654",29.1,31.6,104,104,2,0,10,,Frisch
Philadelphia Stars,,,31.0,27.9,100,100,0,3,10,,Curry
St. Louis Browns,"482,986","6,355",30.4,30.9,106,106,0,0,8,"$135,550",Sewell
St. Louis Cardinals,"594,630","7,623",28.1,28.6,103,99,1,0,10,,Southworth
Washington Nationals,"652,660","8,367",31.3,32.2,91,92,1,0,8,"$100,700",Bluege
