Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Managers
Atlantic City Bacharach Giants,,,29.5,30.2,100,100,0,0,1,,Lundy
Birmingham Black Barons,,,27.3,29.0,100,100,1,0,3,,Jones
Baltimore Black Sox,,,29.0,27.4,100,100,2,0,2,,Taylor
Boston Red Sox,"305,275","3,914",27.5,25.0,97,102,1,0,3,"$100,900",Carrigan
Brooklyn Royal Giants,,,28.5,30.4,100,100,0,0,3,,Redding
Brooklyn Robins,"637,230","8,611",29.9,31.9,100,101,2,0,0,"$231,708",Robinson
Boston Braves,"288,685","3,901",29.3,29.0,92,95,1,0,0,"$170,148",Bancroft
Chicago American Giants,,,29.2,27.2,100,100,1,0,5,,Malarcher
Chicago Cubs,"1,159,168","14,861",28.0,27.3,102,100,2,0,2,"$190,000",McCarthy
Cleveland Hornets,,,27.6,27.3,100,100,0,0,0,,Duncan
Chicago White Sox,"614,423","8,192",27.9,28.3,98,98,3,0,1,"$167,850",Schalk
Cincinnati Reds,"442,164","5,527",29.8,31.2,98,98,2,0,0,"$215,900",Hendricks
Cleveland Indians,"373,138","4,846",28.3,27.0,101,101,1,0,2,"$83,700",McCallister
Cuban Stars East,,,29.2,28.8,100,100,1,0,3,,Chacón and Baró
Cuban Stars West,,,23.7,23.0,100,100,0,0,1,,
Detroit Tigers,"773,716","9,919",27.5,27.3,101,101,3,0,2,"$106,400",Moriarty
Detroit Stars,,,28.3,28.9,100,100,3,0,2,,DeMoss
Harrisburg Giants,,,27.6,26.4,100,100,1,0,4,,Beckwith
Hilldale Club,,,30.3,29.8,100,100,2,0,3,,Warfield and Briggs
Kansas City Monarchs,,,28.5,26.7,100,100,1,0,7,,Rogan
Memphis Red Sox,,,26.4,26.8,100,100,0,0,2,,Wesley
New York Lincoln Giants,,,32.2,28.5,100,100,2,0,2,,Lloyd
New York Giants,"858,190","11,597",28.1,28.5,100,99,7,0,4,"$216,408",McGraw and Hornsby
New York Yankees,"1,164,015","15,117",27.8,31.0,98,94,6,0,3,"$283,000",Huggins
Philadelphia Athletics,"605,529","7,864",30.4,31.3,105,102,7,0,5,"$230,267",Mack
Philadelphia Phillies,"305,420","3,916",30.7,29.8,96,100,0,0,1,"$138,850",McInnis
Pittsburgh Pirates,"869,720","11,009",27.7,31.4,108,106,5,0,6,"$206,550",Bush
St. Louis Browns,"247,879","3,178",31.6,29.3,103,105,1,0,1,"$148,000",Howley
St. Louis Stars,,,26.8,23.3,100,100,3,0,6,,Taylor
St. Louis Cardinals,"749,340","9,367",27.8,31.4,105,103,7,0,3,"$230,550",O'Farrell
Washington Nationals,"528,976","6,696",29.9,27.6,98,98,6,0,5,"$189,100",Harris
