Tm,W,L,W-L%,GB
Boston Red Sox,86,58,.597,--
New York Yankees,79,65,.549,7.0
Baltimore Orioles,71,73,.493,15.0
Detroit Tigers,60,84,.417,26.0
Toronto Blue Jays,56,88,.389,30.0
Cleveland Indians,100,44,.694,--
Kansas City Royals,70,74,.486,30.0
Chicago White Sox,68,76,.472,32.0
Milwaukee Brewers,65,79,.451,35.0
Minnesota Twins,56,88,.389,44.0
Seattle Mariners,79,66,.545,--
California Angels,78,67,.538,1.0
Texas Rangers,74,70,.514,4.5
Oakland Athletics,67,77,.465,11.5
Atlanta Braves,90,54,.625,--
New York Mets,69,75,.479,21.0
Philadelphia Phillies,69,75,.479,21.0
Florida Marlins,67,76,.469,22.5
Montreal Expos,66,78,.458,24.0
Cincinnati Reds,85,59,.590,--
Houston Astros,76,68,.528,9.0
Chicago Cubs,73,71,.507,12.0
St. Louis Cardinals,62,81,.434,22.5
Pittsburgh Pirates,58,86,.403,27.0
Los Angeles Dodgers,78,66,.542,--
Colorado Rockies,77,67,.535,1.0
San Diego Padres,70,74,.486,8.0
San Francisco Giants,67,77,.465,11.0
