team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"2,140,217",78,"27,439","1,911,131","12,486","45,815","120,464","306,255","422,283","347,050","501,501","442,664",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"2,551,102",79,"32,292","2,141,114","10,728","50,700","250,237","383,265","453,728","446,245","531,956","485,671",Memorial Stadium
Boston Red Sox,AL,"2,595,356",81,"32,041","2,311,755","14,037","34,753","298,609","426,415","507,044","462,146","319,816","581,326",Fenway Park
Chicago Cubs,NL,"2,311,520",81,"28,537","2,043,347","10,830","36,215","192,760","391,135","419,968","473,008","502,019","332,630",Wrigley Field
Chicago White Sox,AL,"2,968,154",81,"36,644","2,380,052","23,215","42,796","289,288","415,779","615,479","555,995","501,101","590,512",Guaranteed Rate Field
Cincinnati Reds,NL,"2,372,377",80,"29,655","2,063,872","14,338","55,205","285,410","418,393","530,355","331,116","524,013","283,090",Cinergy Field
Cleveland Indians,AL,"1,051,863",79,"13,315","2,109,238","1,695","55,158","76,151","224,685","231,612","208,727","183,241","127,447",Cleveland Stadium
Detroit Tigers,AL,"1,659,472",80,"20,743","2,396,641","10,074","48,724","121,914","254,561","294,404","248,256","448,630","291,707",Tiger Stadium
Houston Astros,NL,"1,196,152",81,"14,767","2,043,208","10,146","37,970","135,405","190,935","197,908","289,551","242,413","139,940",Astrodome
Kansas City Royals,AL,"2,161,527",80,"27,019","2,155,520","17,638","40,762","272,181","324,232","419,966","384,892","483,406","276,850",Kauffman Stadium
Los Angeles Dodgers,NL,"3,346,630",81,"41,316","2,492,737","22,617","51,067","436,761","532,425","611,593","528,080","565,540","672,231",Dodger Stadium
Milwaukee Brewers,AL,"1,478,814",79,"18,719","2,224,257","10,034","50,058","139,761","267,420","294,265","288,809","276,108","212,451",County Stadium
Minnesota Twins,AL,"2,293,842",81,"28,319","2,337,396","10,230","52,080","221,507","222,071","409,198","387,968","490,407","562,691",Hubert H. Humphrey Metrodome
Montreal Expos,NL,"978,045",67,"14,598","2,021,479","10,197","35,238","128,669","138,575","228,092","214,579","192,131","75,999",Stade Olympique
New York Mets,NL,"2,263,729",78,"29,022","2,142,423","11,980","49,276","293,518","411,467","447,356","420,409","407,585","283,394",Shea Stadium
New York Yankees,AL,"1,863,729",78,"23,894","2,381,302","12,088","50,891","144,110","328,254","314,367","440,256","366,925","269,817",Yankee Stadium I
Oakland Athletics,AL,"2,713,193",81,"33,496","2,636,081","21,271","44,595","350,309","418,715","489,642","437,070","608,773","408,684",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,049,958",83,"24,698","1,912,333","12,109","51,314","238,437","303,020","316,240","457,221","394,406","340,634",Veterans Stadium
Pittsburgh Pirates,NL,"2,073,028",83,"24,976","2,065,051","10,512","54,274","153,438","295,294","330,499","368,951","502,021","422,825",Three Rivers Stadium
San Diego Padres,NL,"1,803,929",81,"22,271","2,028,727","10,082","54,841","278,465","313,175","369,890","289,869","252,581","299,949",Qualcomm Stadium
San Francisco Giants,NL,"1,737,489",81,"21,450","2,197,203","11,140","55,883","203,665","259,563","281,164","319,750","398,397","274,950",Candlestick Park
Seattle Mariners,AL,"2,109,966",81,"26,049","2,205,841","10,930","55,612","221,218","365,939","273,633","341,959","438,893","468,324",Kingdome
St. Louis Cardinals,NL,"2,449,537",82,"29,872","1,801,100","10,289","49,251","270,972","354,338","512,318","454,778","503,190","353,941",Busch Stadium II
Texas Rangers,AL,"2,297,718",79,"29,085","2,301,787","12,273","42,696","222,576","363,235","348,313","613,168","331,940","418,486",Arlington Stadium
Toronto Blue Jays,AL,"4,001,526",81,"49,402","2,250,718","38,286","50,326","512,136","624,410","754,145","702,202","704,324","704,309",Rogers Centre
California Angels,AL,"2,416,146",81,"29,829","2,330,706","19,251","61,056","309,144","380,885","434,513","434,181","465,766","391,657",Angel Stadium of Anaheim
