team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Arizona Diamondbacks,NL,"2,091,005",81,"25,815","2,515,072","18,012","48,946","237,249","377,252","390,290","260,727","414,118","411,369",Chase Field
Atlanta Braves,NL,"2,549,524",80,"31,869","2,412,584","19,212","53,943","335,517","339,491","459,840","563,304","433,731","417,641",Turner Field
Baltimore Orioles,AL,"2,153,150",81,"26,582","2,537,170","13,194","49,159","430,408","268,690","468,184","297,165","386,350","302,353",Oriole Park at Camden Yards
Boston Red Sox,AL,"2,930,768",81,"36,182","2,923,948","35,491","36,920","362,724","507,531","470,308","433,747","541,841","614,617",Fenway Park
Chicago Cubs,NL,"3,123,215",80,"39,040","2,739,193","27,105","41,698","470,282","557,165","441,107","526,015","479,334","649,312",Wrigley Field
Chicago White Sox,AL,"2,957,414",81,"36,511","2,453,316","21,901","39,872","386,242","466,527","555,618","500,383","636,941","411,703",Guaranteed Rate Field
Cincinnati Reds,NL,"2,134,472",81,"26,352","2,747,243","13,887","42,591","278,013","327,185","414,122","349,622","492,814","272,716",Great American Ballpark
Cleveland Indians,AL,"1,998,070",81,"24,668","2,447,500","14,503","42,706","297,389","333,941","323,608","457,951","322,707","262,474",Progressive Field
Colorado Rockies,NL,"2,104,560",81,"25,982","2,625,946","18,204","48,364","310,674","269,583","386,557","430,161","400,909","306,676",Coors Field
Detroit Tigers,AL,"2,595,937",81,"32,049","2,365,305","12,415","44,179","233,545","421,686","448,972","388,298","545,716","557,720",Comerica Park
Florida Marlins,NL,"1,165,120",81,"14,384","2,506,802","10,189","38,014","126,453","174,369","113,471","200,214","261,616","288,997",Sun Life Stadium
Houston Astros,NL,"3,022,763",81,"37,318","2,543,373","26,093","43,769","514,389","412,520","604,628","524,903","463,602","502,721",Minute Maid Park
Kansas City Royals,AL,"1,372,684",80,"17,159","2,538,778","10,745","41,054","218,195","199,646","189,867","264,338","273,343","227,295",Kauffman Stadium
Los Angeles Dodgers,NL,"3,758,421",81,"46,400","2,586,283","33,352","56,000","532,344","621,642","603,341","743,221","613,046","644,827",Dodger Stadium
Milwaukee Brewers,NL,"2,335,643",81,"28,835","2,418,524","11,660","45,150","315,607","332,883","452,496","475,150","354,224","405,283",American Family Field
Minnesota Twins,AL,"2,285,018",81,"28,210","2,267,531","11,796","48,911","230,883","344,056","371,595","423,187","495,126","420,171",Hubert H. Humphrey Metrodome
New York Mets,NL,"3,372,045",78,"43,231","2,724,901","19,557","56,289","434,272","665,074","413,437","568,076","673,122","618,064",Shea Stadium
New York Yankees,AL,"4,247,980",81,"52,444","3,080,290","35,642","55,246","568,756","656,640","865,680","598,246","696,683","861,975",Yankee Stadium I
Oakland Athletics,AL,"1,976,625",81,"24,403","2,575,148","12,025","35,077","268,320","318,121","246,004","403,141","320,369","420,670",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"2,701,815",79,"34,200","2,447,684","19,182","45,775","366,374","597,522","366,149","541,880","384,820","445,070",Citizens Bank Park
Pittsburgh Pirates,NL,"1,861,549",80,"23,269","2,579,876","11,627","39,129","291,134","282,796","358,190","305,284","368,261","255,884",PNC Park
San Diego Padres,NL,"2,659,732",81,"32,836","2,642,589","19,718","44,337","482,900","465,713","438,561","312,625","546,835","413,098",Petco Park
San Francisco Giants,NL,"3,130,304",81,"38,646","2,628,033","33,034","42,984","449,302","588,719","614,772","437,013","590,913","449,585",Oracle Park
Seattle Mariners,AL,"2,480,717",81,"30,626","2,320,277","16,102","46,325","415,251","345,328","341,680","485,963","572,799","319,696",T-Mobile Park
St. Louis Cardinals,NL,"3,407,104",80,"42,589","2,738,603","38,728","46,068","644,528","496,288","586,210","405,320","643,243","631,515",Busch Stadium III
Tampa Bay Devil Rays,AL,"1,369,031",81,"16,902","2,318,620","10,017","40,199","197,165","182,639","186,326","288,336","242,486","272,079",Tropicana Field
Texas Rangers,AL,"2,388,757",81,"29,491","2,391,334","16,536","51,541","385,078","491,663","307,351","492,867","347,335","364,463",Rangers Ballpark in Arlington
Toronto Blue Jays,AL,"2,302,182",81,"28,422","2,313,065","15,631","50,449","382,864","415,763","337,054","371,119","380,187","415,195",Rogers Centre
Washington Nationals,NL,"2,153,080",81,"26,581","2,403,953","18,324","45,157","202,432","390,393","358,325","412,751","352,350","436,829",Robert F. Kennedy Stadium
Los Angeles Angels,AL,"3,406,790",81,"42,059","2,242,534","33,736","44,253","502,666","576,114","583,547","393,154","704,181","647,128",Angel Stadium of Anaheim
