team,league,attendance,games,avg att,road att,minimum,maximum,apr,may,jun,jul,aug,sep,ballparks
Atlanta Braves,NL,"534,107",49,"10,900","1,164,175","10,006","34,929","125,869","215,882","55,832",0,"62,003","74,521",Atlanta-Fulton County Stadium
Baltimore Orioles,AL,"1,024,831",53,"19,336","954,281","10,616","51,646","152,837","370,115",0,0,"197,465","304,414",Memorial Stadium
Boston Red Sox,AL,"1,060,659",52,"20,397","1,061,601","12,044","35,154","145,351","320,433",0,0,"197,699","397,176",Fenway Park
Chicago Cubs,NL,"565,615",55,"10,284","867,495","10,093","37,030","88,043","133,326","74,446",0,"187,889","81,911",Wrigley Field
Chicago White Sox,AL,"944,701",47,"20,100","1,068,268","10,272","51,560","159,094","244,596","204,368",0,"142,954","193,689",Comiskey Park I
Cincinnati Reds,NL,"1,111,107",51,"21,786","1,170,783","11,098","51,716","175,151","329,981","87,324",0,"219,012","299,639",Cinergy Field
Cleveland Indians,AL,"662,417",49,"13,519","978,612","10,413","71,067","114,990","295,211","58,020",0,"94,301","99,895",Cleveland Stadium
Detroit Tigers,AL,"1,149,744",54,"21,292","858,301","10,002","51,452","180,848","176,475","102,174",0,"356,173","334,074",Tiger Stadium
Houston Astros,NL,"1,321,222",50,"26,424","1,167,053","10,669","43,726","338,178","325,154","100,436",0,"171,258","386,196",Astrodome
Kansas City Royals,AL,"1,279,440",47,"27,222","1,079,648","17,893","40,700","175,142","241,558","251,737",0,"115,058","495,945",Kauffman Stadium
Los Angeles Dodgers,NL,"2,382,579",56,"42,546","1,210,804","19,467","53,906","461,224","565,501","129,233",0,"479,212","747,409",Dodger Stadium
Milwaukee Brewers,AL,"878,482",48,"18,302","1,144,611","10,463","54,296","148,644","317,571","34,448",0,"153,517","224,302",County Stadium
Minnesota Twins,AL,"469,090",59,"7,951","845,150","1,874","42,658","91,464","69,001","44,064",0,"110,609","153,952",Metropolitan Stadium
Montreal Expos,NL,"1,534,663",52,"29,513","972,730","10,081","52,089","151,332","446,565","78,478",0,"318,613","539,675",Stade Olympique
New York Mets,NL,"701,910",49,"14,325","1,014,121","10,200","44,598","91,001","217,816","40,657",0,"206,350","146,086",Shea Stadium
New York Yankees,AL,"1,614,482",50,"32,290","1,631,417","15,098","55,123","243,710","384,249","217,502",0,"372,886","396,135",Yankee Stadium I
Oakland Athletics,AL,"1,298,105",51,"25,453","1,105,288","10,939","50,255","222,253","434,302","147,606",0,"249,977","243,967",Oakland-Alameda County Coliseum
Philadelphia Phillies,NL,"1,638,914",54,"30,350","969,447","11,812","60,561","278,247","400,180","203,622",0,"318,030","438,835",Veterans Stadium
Pittsburgh Pirates,NL,"549,369",48,"11,445","989,073","10,022","40,332","71,765","150,371","88,742",0,"143,569","94,922",Three Rivers Stadium
San Diego Padres,NL,"559,711",54,"10,365","1,019,302","10,023","52,608","138,272","174,287","32,097",0,"113,109","101,946",Qualcomm Stadium
San Francisco Giants,NL,"632,274",51,"12,398","1,018,051","10,307","54,520","200,423","135,282","30,741",0,"80,256","185,572",Candlestick Park
Seattle Mariners,AL,"636,276",56,"11,362","803,009","10,111","51,903","137,896","210,919","93,209",0,"113,013","81,239",Kingdome
St. Louis Cardinals,NL,"1,010,247",53,"19,061","978,684","10,454","40,488","92,536","286,113","199,138",0,"183,109","249,351",Busch Stadium II
Texas Rangers,AL,"853,032",54,"15,797","893,194","10,399","37,350","167,184","253,381","101,767",0,"141,353","189,347",Arlington Stadium
Toronto Blue Jays,AL,"755,083",51,"14,806","814,447","11,058","25,112","131,387","222,526","72,882",0,"175,233","153,055",Exhibition Stadium
California Angels,AL,"1,441,545",54,"26,695","830,060","18,886","51,325","284,248","476,845","189,143",0,"208,995","282,314",Angel Stadium of Anaheim
