Tm,W,L,W-L%,GB
New York Yankees,97,65,.599,--
Tampa Bay Rays,91,71,.562,6.0
Boston Red Sox,90,72,.556,7.0
Toronto Blue Jays,81,81,.500,16.0
Baltimore Orioles,69,93,.426,28.0
Detroit Tigers,95,67,.586,--
Cleveland Indians,80,82,.494,15.0
Chicago White Sox,79,83,.488,16.0
Kansas City Royals,71,91,.438,24.0
Minnesota Twins,63,99,.389,32.0
Texas Rangers,96,66,.593,--
Los Angeles Angels of Anaheim,86,76,.531,10.0
Oakland Athletics,74,88,.457,22.0
Seattle Mariners,67,95,.414,29.0
Philadelphia Phillies,102,60,.630,--
Atlanta Braves,89,73,.549,13.0
Washington Nationals,80,81,.497,21.5
New York Mets,77,85,.475,25.0
Florida Marlins,72,90,.444,30.0
Milwaukee Brewers,96,66,.593,--
St. Louis Cardinals,90,72,.556,6.0
Cincinnati Reds,79,83,.488,17.0
Pittsburgh Pirates,72,90,.444,24.0
Chicago Cubs,71,91,.438,25.0
Houston Astros,56,106,.346,40.0
Arizona Diamondbacks,94,68,.580,--
San Francisco Giants,86,76,.531,8.0
Los Angeles Dodgers,82,79,.509,11.5
Colorado Rockies,73,89,.451,21.0
San Diego Padres,71,91,.438,23.0
